#,"",state,areacode,zip,index,p
1,24576,NH,603,3047,25769808757,0.875039
2,24283,NH,603,3223,26906,0.763923
3,24282,NH,603,3223,4699,0.763923
4,24281,NH,603,3223,8589976090,0.763923
5,38613,fNH,603,3841,8589992100,0.000016
6,24268,NH,603,3575,17179893137,0.915073
7,24267,NH,603,3575,8589962518,0.915073
8,24266,NH,603,3575,25769808653,0.915073
9,24284,NH,603,3040,34007,0.902818
10,24265,NH,603,3575,56166,0.915073
11,707,H,603,3804,25769822388,0.000130
12,706,H,603,3268,17179907454,0.000292
13,709,H,603,3878,25769806463,0.000167
14,24253,NH,603,3033,8589948185,0.902818
15,705,H,603,3033,8589941940,0.000167
16,704,H,603,3299,39600,0.000137
17,703,H,603,3062,17179892180,0.000212
18,708,H,603,3592,8589973284,0.000106
19,24285,NH,603,3040,32761,0.902818
20,24286,NH,603,3040,41462,0.902818
21,24287,NH,603,3040,32975,0.902818
22,34554,AR,603,3869,47483,0.000299
23,24313,NH,603,3886,17179921120,0.842630
24,24312,NH,603,3886,17179872798,0.842630
25,34546,AR,603,3110,17179899978,0.000299
26,34550,AR,603,3249,17179870597,0.000194
27,34542,AR,603,3218,17179886495,0.000259
28,24305,NH,603,3468,25769819473,0.897476
29,24304,NH,603,3468,17179911952,0.897476
30,24303,NH,603,3468,17179894667,0.897476
31,34545,AR,603,3046,25769812599,0.000243
32,34544,AR,603,3801,25769825448,0.000243
33,34543,AR,603,3052,25769822532,0.000324
34,24302,NH,603,3468,29323,0.897476
35,24296,NH,603,3883,43246,0.864236
36,24295,NH,603,3883,10043,0.864236
37,24294,NH,603,3824,17179919923,0.897476
38,24288,NH,603,3040,17179901127,0.902818
39,702,H,603,3278,17179873601,0.000156
40,24255,NH,603,3084,17179906622,0.864236
41,24254,NH,603,3084,8589984324,0.864236
42,701,H,603,3064,17179898775,0.000167
43,24213,NH,603,3768,8589946681,0.915073
44,24210,NH,603,3769,22896,0.907448
45,24201,NH,603,3602,25769814013,0.875039
46,24200,NH,603,3602,48324,0.875039
47,24199,NH,603,3602,18869,0.875039
48,24193,NH,603,3857,8589951550,0.918251
49,24192,NH,603,3857,8589981973,0.918251
50,24191,NH,603,3857,10764,0.918251
51,24172,NH,603,3101,8589985845,0.883878
52,24155,NH,603,3745,25769812678,0.875039
53,24154,NH,603,3745,25769827264,0.875039
54,24153,NH,603,3745,25769816169,0.875039
55,24144,NH,603,3266,17179895002,0.921094
56,24143,NH,603,3266,14932,0.921094
57,24142,NH,603,3266,1555,0.921094
58,24141,NH,603,3266,8589970936,0.921094
59,24138,NH,603,3595,8589944354,0.864236
60,24214,NH,603,3768,8589978692,0.915073
61,34547,AR,603,3240,8589972560,0.000299
62,24215,NH,603,3051,25769826583,0.911499
63,24217,NH,603,3051,11136,0.911499
64,24252,NH,603,3033,8589987692,0.902818
65,24251,NH,603,3033,17179915342,0.902818
66,24250,NH,603,3033,8589991529,0.902818
67,24245,NH,603,3582,39668,0.864236
68,24244,NH,603,3582,8589963578,0.864236
69,24239,NH,603,3062,8589946455,0.795490
70,24238,NH,603,3062,51215,0.795490
71,24237,NH,603,3062,39046,0.795490
72,24236,NH,603,3062,8589952615,0.795490
73,38558,rNH,603,3229,25769808171,0.000043
74,38557,rNH,603,3773,17179880749,0.000035
75,24223,NH,603,3579,17179871421,0.911499
76,24222,NH,603,3579,17179875272,0.911499
77,24221,NH,603,3579,8589963621,0.911499
78,24220,NH,603,3254,19675,0.883878
79,24219,NH,603,3254,25769808017,0.883878
80,24218,NH,603,3254,17179902159,0.883878
81,24216,NH,603,3051,52179,0.911499
82,34548,AR,603,3261,25769826075,0.000216
83,34549,AR,603,3598,17179869829,0.000259
84,34556,AR,603,3273,17179906056,0.000229
85,24499,NH,603,3462,25769821546,0.918251
86,24498,NH,603,3462,8589957764,0.918251
87,24497,NH,603,3462,8589977396,0.918251
88,24470,NH,603,3240,25769813723,0.897476
89,36752,NeH,603,3111,26303,0.000029
90,24464,NH,603,3774,38592,0.810221
91,24463,NH,603,3774,8589946672,0.810221
92,24462,NH,603,3774,8589984834,0.810221
93,24461,NH,603,3774,17179923811,0.810221
94,24452,NH,603,3298,25769804639,0.907448
95,24451,NH,603,3298,1,0.907448
96,24430,NH,603,3456,8589978331,0.902818
97,24429,NH,603,3456,22614,0.902818
98,24428,NH,603,3456,17179927072,0.902818
99,24427,NH,603,3456,25718,0.902818
100,24426,NH,603,3456,8589975944,0.902818
101,24425,NH,603,3456,8589941417,0.902818
102,24500,NH,603,3462,25769820972,0.918251
103,24424,NH,603,3598,17179925382,0.842630
104,24501,NH,603,3462,33277,0.918251
105,951,hNH,603,3038,8589935906,0.000020
106,24556,NH,603,3878,45988,0.902818
107,24555,NH,603,3878,8589968344,0.902818
108,24554,NH,603,3878,40267,0.902818
109,24553,NH,603,3836,25769804225,0.915073
110,24552,NH,603,3836,17179926804,0.915073
111,24551,NH,603,3833,17179907251,0.902818
112,24550,NH,603,3833,26718,0.902818
113,24547,NH,603,3064,25769827579,0.902818
114,24546,NH,603,3064,17179912901,0.902818
115,24528,NH,603,3220,17179899301,0.918251
116,24527,NH,603,3220,17179872318,0.918251
117,24526,NH,603,3220,8589945905,0.918251
118,24525,NH,603,3220,17179918836,0.918251
119,24524,NH,603,3220,8589982597,0.918251
120,24523,NH,603,3220,22766,0.918251
121,24522,NH,603,3220,17179887520,0.918251
122,24503,NH,603,3462,17179916210,0.918251
123,24502,NH,603,3462,17179911992,0.918251
124,24137,NH,603,3595,8589955037,0.864236
125,24409,NH,603,3896,50935,0.875039
126,24403,NH,603,3052,17179911482,0.891243
127,24359,NH,603,3593,8589968193,0.918251
128,24358,NH,603,3593,17179891771,0.918251
129,24357,NH,603,3593,6636,0.918251
130,24356,NH,603,3593,8589951143,0.918251
131,24355,NH,603,3461,17179896381,0.902818
132,24354,NH,603,3461,8589973547,0.902818
133,24353,NH,603,3461,5581,0.902818
134,24341,NH,603,3890,17179915985,0.850732
135,24328,NH,603,3274,1276,0.875039
136,24319,NH,603,3841,34357,0.911499
137,24318,NH,603,3841,25769806900,0.911499
138,24320,NH,603,3841,28379,0.911499
139,34555,AR,603,3040,49054,0.000278
140,34553,AR,603,3084,8589949739,0.000432
141,24321,NH,603,3038,17179872672,0.897476
142,34552,AR,603,3084,1974,0.000432
143,34551,AR,603,3605,15521,0.000194
144,24360,NH,603,3593,42962,0.918251
145,24408,NH,603,3896,23002,0.875039
146,24361,NH,603,3593,25769808774,0.918251
147,24372,NH,603,3752,17179878107,0.891243
148,24396,NH,603,3218,4156,0.907448
149,24395,NH,603,3218,25769828135,0.907448
150,24394,NH,603,3218,10248,0.907448
151,24393,NH,603,3218,25769814942,0.907448
152,24392,NH,603,3218,11027,0.907448
153,24391,NH,603,3218,8589991132,0.907448
154,24390,NH,603,3268,31489,0.850732
155,24389,NH,603,3031,25592,0.756206
156,24388,NH,603,3751,35225,0.875039
157,24387,NH,603,3751,8589992528,0.875039
158,24386,NH,603,3751,47005,0.875039
159,24385,NH,603,3605,16099,0.923652
160,24384,NH,603,3605,17179906653,0.923652
161,24383,NH,603,3111,17179880380,0.864236
162,24375,NH,603,3249,8589938995,0.875039
163,24374,NH,603,3249,8589966817,0.875039
164,24373,NH,603,3249,25769818041,0.875039
165,24362,NH,603,3593,17179871404,0.918251
166,24557,NH,603,3878,48484,0.902818
167,24111,NH,603,3046,17179920938,0.911499
168,24109,NH,603,3046,17179900765,0.911499
169,24770,NH,603,3782,8589963487,0.891243
170,24767,NH,603,3273,28546,0.915073
171,24757,NH,603,3304,8589945756,0.902818
172,24756,NH,603,3304,46146,0.902818
173,24749,NH,603,3261,17179896518,0.918251
174,24748,NH,603,3261,9179,0.918251
175,24747,NH,603,3261,8589978074,0.918251
176,24771,NH,603,3782,8589986967,0.891243
177,24746,NH,603,3261,8589970305,0.918251
178,24741,NH,603,3855,4647,0.891243
179,24740,NH,603,3855,17179914366,0.891243
180,24726,NH,603,3215,17179890091,0.857881
181,24725,NH,603,3754,53506,0.934871
182,24724,NH,603,3754,17179895348,0.934871
183,24723,NH,603,3754,8589942161,0.934871
184,24722,NH,603,3754,8589936720,0.934871
185,24745,NH,603,3261,25769823902,0.918251
186,24772,NH,603,3782,8589954012,0.891243
187,24776,NH,603,3867,44133,0.864236
188,24777,NH,603,3867,17179882030,0.864236
189,24818,NH,603,3279,54292,0.857881
190,24817,NH,603,3279,44545,0.857881
191,24816,NH,603,3279,25769804265,0.857881
192,24815,NH,603,3276,5692,0.902818
193,24814,NH,603,3276,3457,0.902818
194,24813,NH,603,3276,17179893804,0.902818
195,24812,NH,603,3588,25769822046,0.902818
196,24811,NH,603,3588,17179890023,0.902818
197,24804,NH,603,3464,57878,0.833370
198,24803,NH,603,3464,17179910225,0.833370
199,24802,NH,603,3299,8589983942,0.915073
200,24801,NH,603,3804,8589964122,0.918251
201,24800,NH,603,3804,14875,0.918251
202,24799,NH,603,3804,8589962760,0.918251
203,24798,NH,603,3804,39354,0.918251
204,24797,NH,603,3804,27012,0.918251
205,24796,NH,603,3869,25769822092,0.822686
206,24721,NH,603,3754,8589967271,0.934871
207,24720,NH,603,3754,8589992066,0.934871
208,24719,NH,603,3754,13497,0.934871
209,24718,NH,603,3754,8589955796,0.934871
210,24642,NH,603,3466,21609,0.915073
211,24641,NH,603,3466,47753,0.915073
212,24636,NH,603,3801,51961,0.911499
213,24635,NH,603,3801,7235,0.911499
214,24634,NH,603,3801,8589982096,0.911499
215,24622,NH,603,3257,8589940623,0.918251
216,24621,NH,603,3257,8589965577,0.918251
217,24620,NH,603,3257,17179921592,0.918251
218,24619,NH,603,3257,8589956905,0.918251
219,24599,NH,603,3060,25769814489,0.915073
220,24598,NH,603,3060,56738,0.915073
221,24589,NH,603,3260,18248,0.921094
222,24588,NH,603,3260,17179875152,0.921094
223,24587,NH,603,3260,17179879300,0.921094
224,24582,NH,603,3777,17179896933,0.875039
225,24578,NH,603,3237,7747,0.864236
226,24577,NH,603,3047,77,0.875039
227,24643,NH,603,3466,25769805962,0.915073
228,24819,NH,603,3279,17179870796,0.857881
229,24644,NH,603,3466,17179916528,0.915073
230,24648,NH,603,3256,17179906178,0.897476
231,24717,NH,603,3754,6016,0.934871
232,26739,NxH,603,3595,8589955440,0.000029
233,24692,NH,603,3592,38771,0.928072
234,24691,NH,603,3592,8589974993,0.928072
235,24690,NH,603,3592,25769815084,0.928072
236,24689,NH,603,3592,37506,0.928072
237,24687,NH,603,3278,30552,0.907448
238,24686,NH,603,3262,8589950538,0.907448
239,24685,NH,603,3262,17179911197,0.907448
240,24680,NH,603,3054,17179902427,0.897476
241,24679,NH,603,3054,18147,0.897476
242,24678,NH,603,3054,24408,0.897476
243,24663,NH,603,3882,31046,0.911499
244,24662,NH,603,3882,37585,0.911499
245,24656,NH,603,3816,7744,0.915073
246,24655,NH,603,3816,25769821158,0.915073
247,24654,NH,603,3816,20431,0.915073
248,24647,NH,603,3256,8589953301,0.897476
249,24824,NH,603,3259,29825,0.915073
250,24830,NH,603,3110,8589982828,0.897476
251,24831,NH,603,3110,5972,0.897476
252,38398,NV,603,3259,17179883783,0.000518
253,38396,NV,603,3257,27329,0.000490
254,38397,NV,603,3774,25769808782,0.000734
255,38390,NV,603,3602,17179894984,0.000881
256,36347,NfH,603,3229,17179925071,0.000022
257,38395,NV,603,3833,17179881924,0.000629
258,38394,NV,603,3754,8589982501,0.000339
259,38393,NV,603,3237,25769816135,0.000979
260,38392,NV,603,3462,17179885616,0.000490
261,38391,NV,603,3824,25769819288,0.000678
262,38388,NV,603,3588,17179898349,0.000629
263,38389,NV,603,3215,9681,0.000518
264,38387,NV,603,3256,8589941560,0.000678
265,38386,NV,603,3836,8589972267,0.000518
266,38385,NV,603,3276,19682,0.000629
267,38384,NV,603,3867,8589953207,0.000979
268,38383,NV,603,3279,17179887653,0.000518
269,38401,NV,603,3598,17179888869,0.000588
270,495,iNH,603,3779,8589968343,0.000022
271,38399,NV,603,3870,17179880839,0.000678
272,38400,NV,603,3593,44386,0.000490
273,32309,HN,603,3262,8589960618,0.000190
274,32308,HN,603,3260,17179873252,0.000150
275,32307,HN,603,3466,15891,0.000168
276,32306,HN,603,3773,25769826149,0.000190
277,32305,HN,603,3752,47010,0.000238
278,32304,HN,603,3777,17179900663,0.000285
279,32303,HN,603,3266,15629,0.000150
280,32302,HN,603,3869,25769804238,0.000219
281,32301,HN,603,3223,8589968011,0.000204
282,32300,HN,603,3062,17179924574,0.000259
283,32299,HN,603,3575,17179878676,0.000168
284,6693,NsH,603,3751,8589947718,0.000052
285,6692,NsH,603,3234,25769811347,0.000047
286,41479,NvH,603,3842,17179884276,0.000022
287,38405,NV,603,3047,17179918264,0.000881
288,38404,NV,603,3859,8589968185,0.000801
289,38402,NV,603,3274,37757,0.000881
290,38403,NV,603,3890,17179878694,0.000551
291,24110,NH,603,3046,8589943700,0.911499
292,38382,NV,603,3768,8589958034,0.000518
293,38380,NV,603,3745,25769824941,0.000881
294,323,NJ,603,3223,25769828724,0.000444
295,322,NJ,603,3769,8589960155,0.000415
296,321,NJ,603,3279,25769817367,0.000366
297,320,NJ,603,3220,25769811550,0.000346
298,319,NJ,603,3890,8589961274,0.000389
299,318,NJ,603,3882,17179906737,0.000389
300,317,NJ,603,3782,17179913158,0.000518
301,316,NJ,603,3051,8589992756,0.000389
302,315,NJ,603,3883,8589948061,0.000691
303,314,NJ,603,3215,8589983715,0.000366
304,313,NJ,603,3254,8589944011,0.000566
305,312,NJ,603,3855,8589975497,0.000518
306,311,NJ,603,3464,8589968350,0.000889
307,310,NJ,603,3464,17179918265,0.000889
308,24833,NH,603,3110,33869,0.897476
309,33025,qNH,603,3031,8589959427,0.000029
310,24832,NH,603,3110,17179870488,0.897476
311,324,NJ,603,3031,8589939378,0.000691
312,38381,NV,603,3101,17179874004,0.000801
313,325,NJ,603,3582,8589984751,0.000691
314,327,NJ,603,3304,17179883254,0.000444
315,38379,NV,603,3290,17179904344,0.001102
316,38378,NV,603,3060,8589957839,0.000518
317,38377,NV,603,3896,25769803803,0.000881
318,38376,NV,603,3773,17179895738,0.000588
319,38375,NV,603,3054,17179898968,0.000678
320,38374,NV,603,3456,32192,0.000629
321,38373,NV,603,3223,25769815554,0.000629
322,38372,NV,603,3886,46663,0.000588
323,24108,NH,603,3046,8589979536,0.911499
324,1468,nNH,603,3816,8589939987,0.000015
325,22890,jNH,603,3461,52841,0.000019
326,333,NJ,603,3298,17179883534,0.000415
327,332,NJ,603,3579,25769816060,0.000389
328,331,NJ,603,3249,8589981496,0.000311
329,330,NJ,603,3857,25769823931,0.000346
330,329,NJ,603,3468,25769806529,0.000479
331,328,NJ,603,3774,10851,0.000518
332,326,NJ,603,3886,2146,0.000415
333,24575,NH,603,3047,30339,0.875039
