index,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,aa-3859-iah-ord,07:10 am,07:16 am,09:40 am,09:32 am
2,aa,aa-1733-ord-phx,07:45 pm,07:58 pm,10:30 pm,10:30 pm
3,aa,aa-1640-mia-mco,06:30 pm,06:30 pm,07:25 pm,07:25 pm
4,aa,aa-518-mia-jfk,06:40 am,06:54 am,09:25 am,09:28 am
5,aa,aa-3756-ord-slc,12:15 pm,12:41 pm,02:45 pm,02:50 pm
6,aa,aa-204-lax-mco,11:25 pm,11:25 pm,06:55 am,06:55 am
7,aa,aa-3468-cvg-mia,07:00 am,07:25 am,09:55 am,09:45 am
8,aa,aa-484-dfw-mia,04:15 pm,04:29 pm,07:55 pm,07:39 pm
9,aa,aa-446-dfw-phl,11:50 am,12:12 pm,03:50 pm,04:09 pm
10,aa,aa-466-iah-mia,06:00 am,06:08 am,09:20 am,09:05 am
11,aa,aa-1886-bos-mia,10:45 am,10:55 am,02:20 pm,01:40 pm
12,aa,aa-2957-dfw-cvg,07:55 am,08:04 am,11:05 am,11:01 am
13,aa,aa-1664-mia-atl,10:15 am,10:18 am,12:10 pm,11:56 am
14,aa,aa-3979-cvg-ord,07:30 am,08:04 am,08:00 am,08:06 am
15,aa,aa-1279-dfw-phx,01:00 pm,02:04 pm,02:35 pm,03:30 pm
16,aa,aa-616-dfw-dtw,09:05 am,10:10 am,12:35 pm,01:27 pm
17,aa,aa-4344-ord-dtw,11:45 am,12:13 pm,02:00 pm,02:10 pm
18,aa,aa-2525-dfw-mia,07:25 am,07:39 am,11:10 am,11:06 am
19,aa,aa-404-mia-mco,06:45 am,06:57 am,07:45 am,07:40 am
20,aa,aa-271-mia-lax,11:35 am,11:52 am,02:25 pm,02:27 pm
21,aa,aa-2050-ord-mia,10:40 am,11:05 am,02:45 pm,02:46 pm
22,aa,aa-4330-cvg-ord,03:35 pm,03:36 pm,04:00 pm,03:33 pm
23,aa,aa-1434-dfw-mco,07:15 am,07:21 am,10:35 am,10:36 am
24,aa,aa-4307-ord-dtw,06:45 pm,06:55 pm,09:10 pm,08:53 pm
25,aa,aa-3-jfk-lax,12:00 pm,12:11 pm,03:15 pm,03:16 pm
26,aa,aa-3842-msp-ord,06:00 am,06:56 am,07:30 am,07:51 am
27,aa,aa-643-mia-ord,07:10 am,07:30 am,09:35 am,09:31 am
28,aa,aa-1007-mia-phx,04:55 pm,05:08 pm,08:05 pm,07:55 pm
29,aa,aa-1221-mco-ord,08:00 pm,08:23 pm,09:45 pm,09:53 pm
30,aa,aa-400-dfw-jfk,10:40 am,11:01 am,02:59 pm,03:04 pm
31,aa,aa-4198-ord-cle,10:40 am,10:54 am,12:55 pm,12:50 pm
32,aa,aa-1522-sfo-ord,11:55 pm,11:55 pm,05:50 am,05:50 am
33,aa,aa-3823-lax-den,09:00 pm,09:00 pm,12:15 am,12:15 am
34,aa,aa-2312-dfw-dtw,08:25 pm,08:25 pm,11:50 pm,11:50 pm
35,aa,aa-1165-jfk-mia,06:59 am,07:22 am,10:34 am,10:04 am
36,aa,aa-431-mia-sfo,08:35 am,08:51 am,11:50 am,11:44 am
37,aa,aa-649-ord-sna,01:30 pm,01:30 pm,03:50 pm,03:50 pm
38,aa,aa-3063-slc-lax,08:20 pm,08:39 pm,09:20 pm,09:20 pm
39,aa,aa-3804-phl-ord,02:35 pm,02:44 pm,04:05 pm,03:43 pm
