Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0007419773696902832
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.9066900173747443
Attribute: areacode, MSE: nan, Jaccard: 0.04729795684899152
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.06219992129083041
Attribute: state, MSE: nan, Jaccard: 0.07935921842487026
Attribute: zip, MSE: nan, Jaccard: 0.028217372547269526
Attribute: maritalstatus, MSE: nan, Jaccard: 0.36656851409542934
Attribute: haschild, MSE: nan, Jaccard: 0.3343346826882564
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 2.958228394578794e-32, Jaccard: 0.17647058823529416
Attribute: singleexemp, MSE: nan, Jaccard: 0.8142636575701219
Attribute: marriedexemp, MSE: nan, Jaccard: 0.7919760881235652
Attribute: childexemp, MSE: nan, Jaccard: 0.6546572613918358
加权混合距离: 0.1332117892487781
