Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.9006228970479998
Attribute: areacode, MSE: nan, Jaccard: 0.0941083172318512
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.011173352870433084
Attribute: state, MSE: nan, Jaccard: 0.6838457232405153
Attribute: zip, MSE: nan, Jaccard: 0.0
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: nan, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.9977410433424114
Attribute: marriedexemp, MSE: nan, Jaccard: 0.9941065017949741
Attribute: childexemp, MSE: nan, Jaccard: 0.9622294117647059
º”»®ªÏ∫œæ‡¿Î: 0.14511960147790284
