Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.0739223657826541
Attribute: brewery_name, MSE: nan, Jaccard: 0.03916872858671805
Attribute: beer_name, MSE: nan, Jaccard: 0.0017346053772766545
Attribute: style, MSE: nan, Jaccard: 0.0
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: 0.0, Jaccard: 0.0
Attribute: ibu, MSE: 0.0, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.005522827687776011
Attribute: state, MSE: nan, Jaccard: 0.17373215402677145
加权混合距离: 0.014704034073059813
