926.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 horus after surgery),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
803.measurename,heart attack patients given aspirini at arrival,heart attack patients given aspirin at arrival
197.hospitalname,callahan eye foundation hospital,st vincents east
454.phonenumber,256386455s6,2563864556
106.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,pneumonia patients assessed and given pneumococcal vaccination
212.stateavg,a_scip-card-2,al_scip-card-2
873.condition,usrgical infection prevention,surgical infection prevention
515.condition,surgcial infection prevention,surgical infection prevention
283.countyname,shelyb,shelby
898.condition,surgical infecton prevention,surgical infection prevention
455.hospitalname,helen keller memorial hsopital,helen keller memorial hospital
796.countyname,madson,madison
783.stateavg,al_mai-7a,al_ami-7a
875.hospitalname,marion regional mediacl center,marion regional medical center
593.state,l,al
874.hospitalname,marion regoinal medical center,marion regional medical center
105.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given smoking cessation advice/counseling
489.emergencyservice,yeps,yes
88.condition,surgical infection uprevention,surgical infection prevention
970.phonenumber,3343470854,3343470584
853.measurename,heart attac kpatients given aspirin at arrival,heart attack patients given aspirin at arrival
86.countyname,laduerdale,lauderdale
112.stateavg,al_sicp-card-2,al_scip-card-2
462.city,sheffeld,sheffield
230.hospitalname,callahan eye foundation hospital,dekalb regional medical center
848.condition,surgical infeciton prevention,surgical infection prevention
138.stateavg,al_scip-itnf-1,al_scip-inf-1
852.condition,surgical infection prevnetion,surgical infection prevention
262.city,birmingham,thomasville
6.measurename,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair rmoval cream c not a razor),surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
947.hospitalowner,voluntary on-profit - private,voluntary non-profit - private
787.zipcode,358t01,35801
218.hospitalname,callahan eye foundation hospital,st vincents east
977.hospitalname,medicail center enterprise,medical center enterprise
678.emergencyservice,es,yes
279.address1,1000 first street nkorth,1000 first street north
770.condition,surgical infectionp revention,surgical infection prevention
199.hospitalname,callahan eye foundation hospital,st vincents east
107.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
304.address1,1720 university lvd,1720 university blvd
841.hospitalowner,volnutary non-profit - private,voluntary non-profit - private
104.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
174.emergencyservice,es,yes
483.hospitalname,ale medical center,dale medical center
64.hospitalowner,government - hospital district or autohrity,government - hospital district or authority
245.hospitalname,callahan eye foundation hospital,southwest alabama medical center
11.state,ual,al
332.city,othan,dothan
823.condition,surgicall infection prevention,surgical infection prevention
767.hospitalname,stringfellow memoial hospital,stringfellow memorial hospital
19.phonenumber,2563864565,2563864556
433.stateavg,akhf-1,ak_hf-1
672.countyname,jefqferson,jefferson
255.state,la,al
103.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given an evaluation of left ventricular systolic (lvs) function
193.hospitalname,callahan eye foundation hospital,marshall medical center north
119.hospitalname,callahan eye foundation hospital,mizell memorial hospital
264.city,birmingham,thomasville
306.zipcode,3z5233,35233
231.hospitalname,callahan eye foundation hospital,dekalb regional medical center
108.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,pneumonia patients given smoking cessation advice/counseling
574.condition,eart failure,heart failure
458.hospitalname,helen keller memorial hosjpital,helen keller memorial hospital
263.city,birmingham,thomasville
466.hospitalowner,government - hosiptal district or authority,government - hospital district or authority
87.stateavg,pal_scip-card-2,al_scip-card-2
507.address1,400 northwoo dr,400 northwood dr
959.condition,heart atack,heart attack
305.zipcode,35233***,35233
808.state,la,al
567.measurename,heart attack patients givn aspirin at arrival,heart attack patients given aspirin at arrival
467.emergencyservice,yevs,yes
403.address1,124 s memorival dr,124 s memorial dr
10.state,ajl,al
