Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: article_title, MSE: nan, Jaccard: 0.02764067127344516
Attribute: article_language, MSE: nan, Jaccard: 0.0
Attribute: journal_title, MSE: nan, Jaccard: 0.022068965517241357
Attribute: jounral_abbreviation, MSE: nan, Jaccard: 0.0
Attribute: journal_issn, MSE: nan, Jaccard: 0.05821371610845294
Attribute: article_jvolumn, MSE: nan, Jaccard: 0.0018037518037518074
Attribute: article_jissue, MSE: nan, Jaccard: 0.028534068376173338
Attribute: article_jcreated_at, MSE: nan, Jaccard: 0.713605282629004
Attribute: article_pagination, MSE: nan, Jaccard: 0.07039911308203994
Attribute: author_list, MSE: nan, Jaccard: 0.17689782179856817
加权混合距离: 0.04579847460786154
