Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: beer_name, MSE: nan, Jaccard: 0.018916595012897663
Attribute: style, MSE: nan, Jaccard: 0.03883495145631066
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: 0.0, Jaccard: 0.0
Attribute: ibu, MSE: 0.0, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.08089221950941283
Attribute: brewery_name, MSE: nan, Jaccard: 0.029794508557949406
Attribute: city, MSE: nan, Jaccard: 0.01335752810121471
Attribute: state, MSE: nan, Jaccard: 0.103204994125904
加权混合距离: 0.014250039838184464
