Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.07077929477411404
Attribute: brewery_name, MSE: nan, Jaccard: 0.02552733491910586
Attribute: beer_name, MSE: nan, Jaccard: 0.0017346053772766545
Attribute: style, MSE: nan, Jaccard: 0.0
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: 0.0, Jaccard: 0.0
Attribute: ibu, MSE: 0.0, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.006352282515073138
Attribute: state, MSE: nan, Jaccard: 0.1329871770137122
加权混合距离: 0.011869034729964095
