Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: beer_name, MSE: nan, Jaccard: 0.018916595012897663
Attribute: style, MSE: nan, Jaccard: 0.03883495145631066
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: 0.0, Jaccard: 0.0
Attribute: ibu, MSE: 0.0, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.04706362715024037
Attribute: brewery_name, MSE: nan, Jaccard: 0.021020949925797394
Attribute: city, MSE: nan, Jaccard: 0.00680051813471505
Attribute: state, MSE: nan, Jaccard: 0.12758672242809277
加权混合距离: 0.013011168205402695
