Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: ProviderNumber, MSE: nan, Jaccard: 0.04072765787979704
Attribute: HospitalName, MSE: nan, Jaccard: 0.30661028859038464
Attribute: Address1, MSE: nan, Jaccard: 0.04165328646797406
Attribute: Address2, MSE: nan, Jaccard: nan
Attribute: Address3, MSE: nan, Jaccard: nan
Attribute: City, MSE: nan, Jaccard: 0.06987022965214462
Attribute: State, MSE: nan, Jaccard: 0.025509683995922572
Attribute: ZipCode, MSE: nan, Jaccard: 0.08156033452807654
Attribute: CountyName, MSE: nan, Jaccard: 0.018892773892773995
Attribute: PhoneNumber, MSE: nan, Jaccard: 0.04072765787979715
Attribute: HospitalType, MSE: nan, Jaccard: 0.0
Attribute: HospitalOwner, MSE: nan, Jaccard: 0.027056778342354537
Attribute: EmergencyService, MSE: nan, Jaccard: 0.35645549318364067
Attribute: Condition, MSE: nan, Jaccard: 0.0
Attribute: MeasureCode, MSE: nan, Jaccard: 0.0
Attribute: MeasureName, MSE: nan, Jaccard: 0.06896551724137934
Attribute: Score, MSE: nan, Jaccard: 0.0
Attribute: Sample, MSE: nan, Jaccard: 0.0
Attribute: Stateavg, MSE: nan, Jaccard: 0.4890584629262421
º”»®ªÏ∫œæ‡¿Î: 0.04353022679390243
