Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: name, MSE: nan, Jaccard: 0.0
Attribute: surname, MSE: nan, Jaccard: 0.20031213075017917
Attribute: birthyear, MSE: nan, Jaccard: 0.5023448948891762
Attribute: birthplace, MSE: nan, Jaccard: 0.14057157636250361
Attribute: position, MSE: nan, Jaccard: 0.8529327996206018
Attribute: team, MSE: nan, Jaccard: 0.4021091502890357
Attribute: city, MSE: nan, Jaccard: 0.0
Attribute: stadium, MSE: nan, Jaccard: 0.6728718398604417
Attribute: season, MSE: nan, Jaccard: 0.0
Attribute: manager, MSE: nan, Jaccard: 0.0
加权混合距离: 0.12596101780781538
