Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.9361939757765229
Attribute: areacode, MSE: nan, Jaccard: 0.09193633278820468
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.027706978648577962
Attribute: state, MSE: nan, Jaccard: 0.7651347110775925
Attribute: zip, MSE: nan, Jaccard: 0.0
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: nan, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.9977410433424114
Attribute: marriedexemp, MSE: nan, Jaccard: 0.9832110228787213
Attribute: childexemp, MSE: nan, Jaccard: 0.9622294117647059
º”»®ªÏ∫œæ‡¿Î: 0.14887979613364802
