tid,attribute,correct_val
0,index,1
0,id,235295
0,article_title,Late repair of injuries of the anal sphincter
0,article_language,eng
0,journal_title,Proc R Soc Med
0,journal_abbreviation,Proceedings of the Royal Society of Medicine
0,journal_issn,0035-9157 (Print) 0035-9157
0,article_jvolumn,64
0,article_jissue,12
0,article_jcreated_at,1/1/71
0,article_pagination,1187-9
0,author_list,{A. G. ParksJ. F. McPartlin}
1,index,2
1,id,498345
1,article_title,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.
1,article_language,ENG
1,journal_title,The Journal of infectious diseases
1,journal_abbreviation,J. Infect. Dis.
1,journal_issn,1537-6613
1,article_jvolumn,-1
1,article_jissue,-1
1,article_jcreated_at,2/15/04
1,article_pagination,
1,author_list,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
2,index,3
2,id,789958
2,article_title,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.
2,article_language,eng
2,journal_title,Indian journal of ophthalmology
2,journal_abbreviation,Indian J Ophthalmol
2,journal_issn,0301-4738
2,article_jvolumn,54
2,article_jissue,4
2,article_jcreated_at,1/6/12
2,article_pagination,283-4
2,author_list,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
3,index,4
3,id,169865
3,article_title,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]
3,article_language,pol
3,journal_title,
3,journal_abbreviation,
3,journal_issn,
3,article_jvolumn,84
3,article_jissue,0
3,article_jcreated_at,1/13/01
3,article_pagination,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-
3,author_list,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
4,index,5
4,id,803653
4,article_title,Diagnosis and Management of Cutaneous B-cell Lymphoma.
4,article_language,eng
4,journal_title,Dermatologic clinics
4,journal_abbreviation,Dermatol Clin
4,journal_issn,1558-0520
4,article_jvolumn,33
4,article_jissue,4
4,article_jcreated_at,1/15/10
4,article_pagination,835-40
4,author_list,{Lauren C Pinter-Brown}
5,index,6
5,id,98234
5,article_title,Pregabalin celecoxib and their combination for treatment of chronic low-back pain
5,article_language,eng
5,journal_title,
5,journal_abbreviation,
5,journal_issn,
5,article_jvolumn,10
5,article_jissue,4
5,article_jcreated_at,1/9/01
5,article_pagination,185-91
5,author_list,{C. L. RomanoG. MineoC. BonoraD. Romano}
6,index,7
6,id,823730
6,article_title,Activation and blockade of beta adrenoceptors in common cardiac disorders
6,article_language,eng
6,journal_title,Br Med Bull
6,journal_abbreviation,British medical bulletin
6,journal_issn,0007-1420
6,article_jvolumn,29
6,article_jissue,2
6,article_jcreated_at,1/1/73
6,article_pagination,163-7
6,author_list,{B N PrichardJ W Black}
7,index,8
7,id,729712
7,article_title,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury
7,article_language,English; ABSTRACT LANGUAGE:English
7,journal_title,American journal of respiratory and critical care medicine
7,journal_abbreviation,
7,journal_issn,1535-4970
7,article_jvolumn,164
7,article_jissue,1
7,article_jcreated_at,1/1/07
7,article_pagination,43-49
7,author_list,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
8,index,9
8,id,396821
8,article_title,Awareness of deficits and on-road driving performance
8,article_language,English
8,journal_title,Clinical Neuropsychologist
8,journal_abbreviation,
8,journal_issn,1385-4046
8,article_jvolumn,25
8,article_jissue,7
8,article_jcreated_at,1/11/01
8,article_pagination,1158-78
8,author_list,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
9,index,10
9,id,340222
