ProviderNumber,HospitalName,HospitalOwner,City,PhoneNumber,State,Address1,Address2,Address3,ZipCode,CountyName,EmergencyService,Condition,MeasureName,HospitalType,MeasureCode,Stateavg,Score,Sample
10018,callahan eye foundation hospital,voluntary non-profit - private,birmingham,2053258100,al,1720 university blvd,empty,empty,35233,jefferson,yes,surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,acute care hospitals,scip-card-2,al_scip-card-2,empty,empty
10018,callahan eye foundation hospital,voluntary non-profit - private,birmingham,2053258100,al,1720 university blvd,empty,empty,35233,jefferson,yes,surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,acute care hospitals,scip-inf-1,al_scip-inf-1,empty,empty
10018,callahan eye foundation hospital,voluntary non-profit - private,birmingham,2053258100,al,1720 university blvd,empty,empty,35233,jefferson,yes,surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,acute care hospitals,scip-inf-2,al_scip-inf-2,empty,empty
10018,callahan eye foundation hospital,voluntary non-profit - private,birmingham,2053258100,al,1720 university blvd,empty,empty,35233,jefferson,yes,surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),acute care hospitals,scip-inf-3,al_scip-inf-3,empty,empty
10018,callahan eye foundation hospital,voluntary non-profit - private,birmingham,2053258100,al,1720 university blvd,empty,empty,35233,jefferson,yes,surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,acute care hospitals,scip-inf-4,al_scip-inf-4,empty,empty
10018,callahan eye foundation hospital,voluntary non-profit - private,birmingham,2053258100,al,1720 university blvd,empty,empty,35233,jefferson,yes,surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),acute care hospitals,scip-inf-6,al_scip-inf-6,empty,empty
10018,callahan eye foundation hospital,voluntary non-profit - private,birmingham,2053258100,al,1720 university blvd,empty,empty,35233,jefferson,yes,surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,acute care hospitals,scip-vte-1,al_scip-vte-1,empty,empty
10018,callahan eye foundation hospital,voluntary non-profit - private,birmingham,2053258100,al,1720 university blvd,empty,empty,35233,jefferson,yes,surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,acute care hospitals,scip-vte-2,al_scip-vte-2,empty,empty
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart attack,heart attack patients given aspirin at arrival,acute care hospitals,ami-1,al_ami-1,97%,33 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart attack,heart attack patients given aspirin at discharge,acute care hospitals,ami-2,al_ami-2,92%,13 patients
10019,helen keller memorial hospital,government - hospital district or authority,sheffield,2563864556,al,1300 south montgomery avenue,empty,empty,35660,jefferson,yes,heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),acute care hospitals,ami-3,al_ami-3,75%,4 patients
