456.sched_dep_time,07:00 AM***,07:00 AM
1802.act_arr_time,7:25 PM,07:25 PM
1206.act_arr_time,6:40 PM,06:40 PM
38.sched_arr_time,09:20 MP,09:20 PM
2017.act_dep_time,0f8:26 AM,08:26 AM
2255.act_dep_time,07:3 1AM,07:31 AM
876.sched_dep_time,06:59 MA,06:59 AM
2181.sched_arr_time,01:17 PeM,01:17 PM
1135.sched_dep_time,0:659 AM,06:59 AM
384.act_arr_time,122:1 AM,12:21 AM
1008.sched_dep_time,06:00AM,06:00 AM
1809.act_arr_time,07:5 5PM,07:55 PM
1032.sched_dep_time,08:0y0 PM,08:00 PM
72.act_dep_time,02:48 PoM,02:48 PM
2256.sched_dep_time,0:10 AM,07:10 AM
603.act_dep_time,0:22 AM,07:22 AM
794.sched_dep_time,065:9 AM,06:59 AM
1964.sched_dep_time,4:00 PM,04:00 PM
876.act_dep_time,07:22 M,07:22 AM
588.act_arr_time,0755 PM,07:55 PM
2372.act_dep_time,11:55 AkM,11:55 AM
2155.sched_dep_time,f01:05 PM,01:05 PM
1024.sched_arr_time,1135 AM,11:35 AM
1488.act_arr_time,9:32 AM,09:32 AM
1448.sched_arr_time,01:16PM,01:16 PM
765.act_arr_time,07:55 M,07:55 PM
1697.sched_dep_time,09:15AM,09:15 AM
1404.sched_arr_time,02:1a5 PM,02:15 PM
1196.sched_dep_time,08:00 hPM,08:00 PM
1339.sched_arr_time,01:61 PM,01:16 PM
1613.act_arr_time,07:55 MP,07:55 PM
176.sched_arr_time,01:17 MP,01:17 PM
390.act_arr_time,11g:06 AM,11:06 AM
1675.sched_dep_time,6:00 AM,06:00 AM
939.sched_dep_time,07:05m AM,07:05 AM
1554.act_dep_time,07:f22 AM,07:22 AM
592.sched_dep_time,08:i00 PM,08:00 PM
775.act_arr_time,10:04w AM,10:04 AM
2303.sched_dep_time,m06:59 AM,06:59 AM
2014.act_arr_time,11:f50 PM,11:50 PM
909.sched_arr_time,06:04 AM,06:40 AM
2294.act_arr_time,075:5 PM,07:55 PM
2322.act_dep_time,0b7:16 AM,07:16 AM
1275.act_dep_time,050:8 PM,05:08 PM
1709.act_arr_time,10:04AM,10:04 AM
775.act_dep_time,07:22 xAM,07:22 AM
491.sched_dep_time,08:00 MP,08:00 PM
2009.sched_arr_time,0:45 PM,02:45 PM
389.act_dep_time,5:08 PM,05:08 PM
1621.act_dep_time,07u:22 AM,07:22 AM
1509.sched_dep_time,02:3c0 PM,02:30 PM
1809.sched_arr_time,08:0m5 PM,08:05 PM
363.sched_arr_time,0:117 PM,01:17 PM
151.act_arr_time,09:32 zAM,09:32 AM
1033.sched_dep_time,07:05 MA,07:05 AM
2084.sched_arr_time,031:9 PM,03:19 PM
1709.sched_dep_time,06:5f9 AM,06:59 AM
2027.act_arr_time,07:01 PM,07:10 PM
404.act_arr_time,1:004 AM,10:04 AM
1248.sched_arr_time,0350 PM,03:50 PM
2115.sched_dep_time,06n:59 AM,06:59 AM
1606.act_arr_time,01:2n7 PM,01:27 PM
1924.sched_dep_time,06:59 M,06:59 AM
1349.sched_arr_time,01:1 7PM,01:17 PM
53.sched_arr_time,0:25 AM,09:25 AM
1684.sched_dep_time,023:0 PM,02:30 PM
183.sched_arr_time,1:39 PM,01:39 PM
370.sched_arr_time,01:39 M,01:39 PM
1864.sched_arr_time,10n:30 PM,10:30 PM
1543.sched_dep_time,08:00 MP,08:00 PM
610.sched_arr_time,10:40 PM,01:40 PM
862.act_arr_time,07:55 MP,07:55 PM
