Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: name, MSE: nan, Jaccard: 0.0
Attribute: surname, MSE: nan, Jaccard: 0.017621145374449365
Attribute: birthyear, MSE: nan, Jaccard: 0.15776514127691577
Attribute: birthplace, MSE: nan, Jaccard: 0.0420228149532762
Attribute: position, MSE: nan, Jaccard: 0.3403687045366206
Attribute: team, MSE: nan, Jaccard: 0.03171396072796939
Attribute: city, MSE: nan, Jaccard: 0.0
Attribute: stadium, MSE: nan, Jaccard: 0.03802627877537623
Attribute: season, MSE: nan, Jaccard: 0.0
Attribute: manager, MSE: nan, Jaccard: 0.0
加权混合距离: 0.028523547529300343
