296.zipcode,32533,35233
779.stateavg,al_mi-2,al_ami-2
804.stateavg,al_mai-2,al_ami-2
590.phonenumber,l3347561400,3347561400
772.phonenumber,25623589t00,2562358900
404.zipcode,n36067,36067
39.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were given the  right kind  of antibiotic to help prevent infection
848.measurename,surgery patients whose preventive antibiotics were stopped at the right time (withni 24 hours after surgery),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
226.hospitalowner,voluntar non-profit - church,voluntary non-profit - church
9.hospitalname,callahan eye foundation hospital,helen keller memorial hospital
781.hospitalname,huntbsville hospital,huntsville hospital
956.measurename,heart attack patients gven aspirin at arrival,heart attack patients given aspirin at arrival
40.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
291.hospitalname,callahan eye foundation hospital,shelby baptist medical center
103.zipcode,63467,36467
66.condition,surgical infectin prevention,surgical infection prevention
21.hospitalowner,government - hospital district or auhtority,government - hospital district or authority
297.city,irmingham,birmingham
309.emergencyservice,ys,yes
63.phonenumber,256e5938310,2565938310
314.hospitalname,stringfellow meumorial hospital,stringfellow memorial hospital
292.hospitalname,callahan eye foundation hospital,shelby baptist medical center
545.zipcode,3606,36106
10.hospitalowner,government - hospital idstrict or authority,government - hospital district or authority
729.city,dcullman,cullman
682.countyname,jeferson,jefferson
359.address1,1530 uj s highway 43,1530 u s highway 43
130.hospitalname,callahan eye foundation hospital,crenshaw community hospital
95.zipcode,35233,36467
255.condition,hart failure,heart failure
874.address1,s1256 military street south,1256 military street south
579.emergencyservice,ymes,yes
306.hospitalname,callahan eye fuondation hospital,callahan eye foundation hospital
567.measurename,heart attack patients given taspirin at arrival,heart attack patients given aspirin at arrival
3.phonenumber,2035258100,2053258100
580.hospitalname,mg h lanier memorial hospital,g h lanier memorial hospital
12.address1,300 south montgomery avenue,1300 south montgomery avenue
60.measurename,pneumonia patents given the most appropriate initial antibiotic(s),pneumonia patients given the most appropriate initial antibiotic(s)
902.hospitalowner,voulntary non-profit - other,voluntary non-profit - other
311.state,l,al
41.condition,surgical infection prevefntion,surgical infection prevention
992.emergencyservice,yse,yes
421.zipcode,n35150,35150
150.state,sal,al
91.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
761.city,andalusai,andalusia
820.condition,syurgical infection prevention,surgical infection prevention
574.state,zal,al
597.stateavg,al_mi-7a,al_ami-7a
142.hospitalname,callahan eye foundation hospital,crenshaw community hospital
628.zipcode,j36801,36801
480.hospitalowner,government -hospital district or authority,government - hospital district or authority
282.countyname,helby,shelby
44.phonenumber,334f7938701,3347938701
271.hospitalname,callahan eye foundation hospital,shelby baptist medical center
356.emergencyservice,ys,yes
321.address1,301 east 18t st,301 east 18th st
914.countyname,eowah,etowah
256.address1,33700 highwya 43,33700 highway 43
305.hospitalname,callahan eye foundation hspital,callahan eye foundation hospital
239.condition,surgicla infection prevention,surgical infection prevention
