Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: beer_name, MSE: nan, Jaccard: 0.018916595012897663
Attribute: style, MSE: nan, Jaccard: 0.03883495145631066
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: nan, Jaccard: 0.0
Attribute: ibu, MSE: nan, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.047243696240183986
Attribute: brewery_name, MSE: nan, Jaccard: 0.1346717392606801
Attribute: city, MSE: nan, Jaccard: 0.06905722695377892
Attribute: state, MSE: nan, Jaccard: 0.2510257463103347
º”»®ªÏ∫œæ‡¿Î: 0.0279874977617093
