没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/2_flights/clean_index.csv
没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/2_flights/noise_with_correct_primary_key/dirty_mixed_1.5/dirty_flights_mix_1.5.csv
Running Horizon with dirty file: Data/2_flights/noise_with_correct_primary_key/dirty_mixed_1.5/dirty_flights_mix_1.5.csv
( CO-1694-LAX-IAH , empty ), 0.001684
( CO-1694-LAX-IAH , 12:21 AM ), 0.020623
( CO-1694-LAX-IAH , 122:1 AM ), 0.000421
( CO-1694-LAX-IAH , 21:21 AM ), 0.000421
( CO-1694-LAX-IAH , 07:15 PM ), 0.020623
( UA-2314-ATL-PHL , 04:47 PM ), 0.008838
( UA-2314-ATL-PHL , 05:00 PM ), 0.008838
( UA-2314-ATL-PHL , 02:55 PM ), 0.017256
( UA-2314-ATL-PHL , empty ), 0.000421
( UA-2515-DFW-CLT , 10:47 AM ), 0.008838
( UA-2515-DFW-CLT , 10:31 AM ), 0.008838
( UA-2515-DFW-CLT , 07:05 AM ), 0.015993
( UA-2515-DFW-CLT , empty ), 0.000842
( UA-2515-DFW-CLT , 07:05m AM ), 0.000421
( UA-2515-DFW-CLT , 07:05 MA ), 0.000421
( AA-271-MIA-LAX , 02:27 PM ), 0.010522
( AA-271-MIA-LAX , 02:25 PM ), 0.010522
( AA-271-MIA-LAX , 11:52 AM ), 0.009680
( AA-271-MIA-LAX , empty ), 0.000842
( AA-271-MIA-LAX , 11:35 AM ), 0.010522
( AA-1733-ORD-PHX , 10:30 PM ), 0.022306
( AA-1733-ORD-PHX , 10n:30 PM ), 0.000421
( AA-1733-ORD-PHX , 07:58 PM ), 0.011364
( AA-1733-ORD-PHX , 07:45 PM ), 0.010943
( AA-1733-ORD-PHX , empty ), 0.000421
( CO-4888-IAH-DAL , 06:40 PM ), 0.017677
( CO-4888-IAH-DAL , 6:40 PM ), 0.000421
( CO-4888-IAH-DAL , empty ), 0.000421
( CO-4888-IAH-DAL , 05:30 PM ), 0.018519
( UA-2708-EWR-CLT , 04:44 PM ), 0.008418
( UA-2708-EWR-CLT , 04:53 PM ), 0.008418
( UA-2708-EWR-CLT , 02:55 PM ), 0.016835
( AA-3468-CVG-MIA , 09:45 AM ), 0.010943
( AA-3468-CVG-MIA , empty ), 0.001684
( AA-3468-CVG-MIA , 09:55 AM ), 0.010943
( AA-3468-CVG-MIA , 07:25 AM ), 0.010943
( AA-3468-CVG-MIA , 07:00 AM ), 0.010522
( AA-3468-CVG-MIA , 07:00 AM*** ), 0.000421
( AA-4344-ORD-DTW , 02:10 PM ), 0.009259
( AA-4344-ORD-DTW , empty ), 0.000421
( AA-4344-ORD-DTW , 02:00 PM ), 0.008838
( AA-4344-ORD-DTW , 02:00 MP ), 0.000421
( AA-4344-ORD-DTW , 02:y00 PM ), 0.000421
( AA-4344-ORD-DTW , 12:13 PM ), 0.009680
( AA-4344-ORD-DTW , 11:45 AM ), 0.009680
( AA-643-MIA-ORD , 09:31 AM ), 0.010943
( AA-643-MIA-ORD , 09:35 AM ), 0.010522
( AA-643-MIA-ORD , 09:3w5 AM ), 0.000421
( AA-643-MIA-ORD , 07:30 AM ), 0.010522
( AA-643-MIA-ORD , empty ), 0.000842
( AA-643-MIA-ORD , 07:10 AM ), 0.010522
( CO-1561-PHX-IAH , 11:32 AM ), 0.008418
( CO-1561-PHX-IAH , empty ), 0.000842
( CO-1561-PHX-IAH , 11:35 AM ), 0.008418
( CO-1561-PHX-IAH , 1135 AM ), 0.000421
( CO-1561-PHX-IAH , 08:00 AM ), 0.007997
( CO-1561-PHX-IAH , 0800 AM ), 0.000421
( CO-1561-PHX-IAH , 08:00 fAM ), 0.000421
( CO-1561-PHX-IAH , 08:05 AM ), 0.008418
( CO-1193-EWR-MCO , 12:09 PM ), 0.010943
( CO-1193-EWR-MCO , 12:18 PM ), 0.010101
( CO-1193-EWR-MCO , 12u:18 PM ), 0.000421
( CO-1193-EWR-MCO , 12:1i8 PM ), 0.000421
( CO-1193-EWR-MCO , 09:14 AM ), 0.010943
( CO-1193-EWR-MCO , 09:15 AM ), 0.010101
( CO-1193-EWR-MCO , empty ), 0.000421
( CO-1193-EWR-MCO , 09:15AM ), 0.000421
( AA-415-BOS-ORD , 10:16 AM ), 0.009259
( AA-415-BOS-ORD , 10:40 AM ), 0.008838
( AA-415-BOS-ORD , 10q:40 AM ), 0.000421
( AA-415-BOS-ORD , 08:56 AM ), 0.008838
( AA-415-BOS-ORD , n08:56 AM ), 0.000421
( AA-415-BOS-ORD , empty ), 0.000421
( AA-415-BOS-ORD , 08:35 AM ), 0.008838
( UA-382-IAD-LAX , 03:21 PM ), 0.009259
( UA-382-IAD-LAX , empty ), 0.002104
( UA-382-IAD-LAX , 03:19 PM ), 0.009259
( UA-382-IAD-LAX , 031:9 PM ), 0.000421
( UA-382-IAD-LAX , 12:35 PM ), 0.009680
( UA-382-IAD-LAX , 12:30 PM ), 0.009680
( AA-466-IAH-MIA , 09:05 AM ), 0.010522
( AA-466-IAH-MIA , empty ), 0.000842
( AA-466-IAH-MIA , 09:20 AM ), 0.011364
( AA-466-IAH-MIA , 06:08 AM ), 0.011364
( AA-466-IAH-MIA , 06:00 AM ), 0.010101
