没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/1_hospitals/clean_index.csv
没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/1_hospitals/noise_with_correct_primary_key/dirty_mixed_0.25/dirty_hospitals_mix_0.25.csv
Running Horizon with dirty file: Data/1_hospitals/noise_with_correct_primary_key/dirty_mixed_0.25/dirty_hospitals_mix_0.25.csv
( huntbsville hospital , 2562651000 ), 0.001000
( huntbsville hospital , 35801 ), 0.001000
( huntbsville hospital , 10039 ), 0.001000
( huntbsville hospital , 101 sivley rd ), 0.001000
( huntbsville hospital , government - hospital district or authority ), 0.001000
( huntbsville hospital , huntsville ), 0.001000
( huntbsville hospital , al ), 0.001000
( chilton medical center , 2057552500 ), 0.025000
( chilton medical center , 35045 ), 0.025000
( chilton medical center , 10043 ), 0.025000
( chilton medical center , 1010 lay dam road ), 0.025000
( chilton medical center , voluntary non-profit - private ), 0.025000
( chilton medical center , clanton ), 0.025000
( chilton medical center , al ), 0.025000
( marion regional medical center , 2059216200 ), 0.025000
( marion regional medical center , 35570 ), 0.025000
( marion regional medical center , 10044 ), 0.025000
( marion regional medical center , 1256 military street south ), 0.024000
( marion regional medical center , s1256 military street south ), 0.001000
( marion regional medical center , voluntary non-profit - private ), 0.025000
( marion regional medical center , hamilton ), 0.025000
( marion regional medical center , al ), 0.025000
( dekalb regional medical center , 2568453150 ), 0.025000
( dekalb regional medical center , 35968 ), 0.025000
( dekalb regional medical center , 10012 ), 0.025000
( dekalb regional medical center , 200 med center drive ), 0.025000
( dekalb regional medical center , voluntary non-profit - church ), 0.024000
( dekalb regional medical center , voluntar non-profit - church ), 0.001000
( dekalb regional medical center , fort payne ), 0.025000
( dekalb regional medical center , al ), 0.025000
( mizell memorial hospital , 3344933541 ), 0.025000
( mizell memorial hospital , 35233 ), 0.001000
( mizell memorial hospital , 36467 ), 0.023000
( mizell memorial hospital , 63467 ), 0.001000
( mizell memorial hospital , 10007 ), 0.025000
( mizell memorial hospital , 702 n main st ), 0.025000
( mizell memorial hospital , voluntary non-profit - private ), 0.025000
( mizell memorial hospital , opp ), 0.025000
( mizell memorial hospital , al ), 0.025000
( cullman regional medical center , 2567372000 ), 0.025000
( cullman regional medical center , 35058 ), 0.025000
( cullman regional medical center , 10035 ), 0.025000
( cullman regional medical center , 1912 alabama highway 157 ), 0.025000
( cullman regional medical center , government - hospital district or authority ), 0.025000
( cullman regional medical center , cullman ), 0.024000
( cullman regional medical center , dcullman ), 0.001000
( cullman regional medical center , al ), 0.025000
( cherokee medical center , 2569275531 ), 0.025000
( cherokee medical center , 35960 ), 0.025000
( cherokee medical center , 10022 ), 0.025000
( cherokee medical center , 400 northwood dr ), 0.024000
( cherokee medical center , empty ), 0.001000
( cherokee medical center , voluntary non-profit - private ), 0.025000
( cherokee medical center , centre ), 0.025000
( cherokee medical center , al ), 0.025000
( callahan eye fuondation hospital , 2053258100 ), 0.001000
( callahan eye fuondation hospital , 35233 ), 0.001000
( callahan eye fuondation hospital , 10018 ), 0.001000
( callahan eye fuondation hospital , 1720 university blvd ), 0.001000
( callahan eye fuondation hospital , voluntary non-profit - private ), 0.001000
( callahan eye fuondation hospital , birmingham ), 0.001000
( callahan eye fuondation hospital , al ), 0.001000
( empty , 3343353374 ), 0.001000
( empty , 2052743000 ), 0.001000
( empty , 36049 ), 0.001000
( empty , 35121 ), 0.001000
( empty , 10008 ), 0.001000
( empty , 10050 ), 0.001000
( empty , 101 hospital circle ), 0.001000
( empty , 150 gilbreath drive ), 0.001000
( empty , government - federal ), 0.001000
( empty , voluntary non-profit - private ), 0.001000
( empty , clarke ), 0.001000
( empty , autauga ), 0.001000
( empty , yes ), 0.002000
( empty , luverne ), 0.001000
( empty , oneonta ), 0.001000
( empty , ami-8a ), 0.001000
( empty , hf-2 ), 0.001000
( empty , al ), 0.002000
( huntsville hospital , 2562651000 ), 0.027000
( huntsville hospital , 35801 ), 0.026000
( huntsville hospital , empty ), 0.001000
( huntsville hospital , 10039 ), 0.027000
( huntsville hospital , 101 sivley rd ), 0.027000
( huntsville hospital , government - hospital district or authority ), 0.027000
( huntsville hospital , huntsville ), 0.027000
( huntsville hospital , al ), 0.027000
( alaska regional hospital , 9072761131 ), 0.018000
( alaska regional hospital , 99508 ), 0.018000
( alaska regional hospital , 20017 ), 0.018000
( alaska regional hospital , 2801 debarr road ), 0.018000
( alaska regional hospital , proprietary ), 0.018000
( alaska regional hospital , anchorage ), 0.018000
( alaska regional hospital , ak ), 0.017000
( alaska regional hospital , empty ), 0.001000
( st vincents east , 2058383122 ), 0.025000
( st vincents east , 35235 ), 0.025000
( st vincents east , 10011 ), 0.025000
( st vincents east , 50 medical park east drive ), 0.025000
( st vincents east , voluntary non-profit - private ), 0.024000
( st vincents east , empty ), 0.001000
( st vincents east , birmingham ), 0.025000
( st vincents east , al ), 0.025000
( andalusia regional hospital , empty ), 0.001000
( andalusia regional hospital , 3342228466 ), 0.024000
( andalusia regional hospital , 36420 ), 0.025000
( andalusia regional hospital , 10036 ), 0.025000
( andalusia regional hospital , 849 south three notch street ), 0.025000
( andalusia regional hospital , proprietary ), 0.025000
( andalusia regional hospital , andalusia ), 0.024000
( andalusia regional hospital , andalusai ), 0.001000
( andalusia regional hospital , al ), 0.025000
( georgiana hospital , 3343762205 ), 0.025000
( georgiana hospital , 36033 ), 0.025000
( georgiana hospital , 10047 ), 0.025000
( georgiana hospital , 515 miranda st ), 0.025000
( georgiana hospital , voluntary non-profit - private ), 0.025000
( georgiana hospital , georgiana ), 0.025000
( georgiana hospital , al ), 0.025000
( callahan eye foundation hspital , 2053258100 ), 0.001000
( callahan eye foundation hspital , 35233 ), 0.001000
( callahan eye foundation hspital , 10018 ), 0.001000
( callahan eye foundation hspital , 1720 university blvd ), 0.001000
( callahan eye foundation hspital , voluntary non-profit - private ), 0.001000
( callahan eye foundation hspital , birmingham ), 0.001000
( callahan eye foundation hspital , al ), 0.001000
( community hospital inc , 3342836541 ), 0.025000
( community hospital inc , 36078 ), 0.025000
( community hospital inc , 10034 ), 0.025000
( community hospital inc , 805 friendship road ), 0.025000
( community hospital inc , voluntary non-profit - private ), 0.025000
( community hospital inc , tallassee ), 0.025000
( community hospital inc , al ), 0.025000
( medical center enterprise , 3343470584 ), 0.025000
( medical center enterprise , 36330 ), 0.025000
( medical center enterprise , 10049 ), 0.025000
( medical center enterprise , 400 n edwards street ), 0.025000
( medical center enterprise , proprietary ), 0.025000
( medical center enterprise , enterprise ), 0.025000
( medical center enterprise , al ), 0.025000
( wedowee hospital , 2563572111 ), 0.025000
( wedowee hospital , 36278 ), 0.025000
( wedowee hospital , 10032 ), 0.025000
( wedowee hospital , 209 north main street ), 0.025000
( wedowee hospital , government - local ), 0.025000
( wedowee hospital , wedowee ), 0.025000
( wedowee hospital , al ), 0.025000
( southeast alabama medical center , 3347938701 ), 0.024000
( southeast alabama medical center , 334f7938701 ), 0.001000
( southeast alabama medical center , 36302 ), 0.025000
( southeast alabama medical center , 10001 ), 0.025000
( southeast alabama medical center , 1108 ross clark circle ), 0.025000
( southeast alabama medical center , government - hospital district or authority ), 0.024000
( southeast alabama medical center , government - hospital district or auhtority ), 0.001000
( southeast alabama medical center , dothan ), 0.025000
( southeast alabama medical center , al ), 0.025000
( hartselle medical center , 2567736511 ), 0.025000
( hartselle medical center , 35640 ), 0.025000
( hartselle medical center , 10009 ), 0.025000
( hartselle medical center , 201 pine street northwest ), 0.025000
( hartselle medical center , proprietary ), 0.025000
( hartselle medical center , hartselle ), 0.025000
( hartselle medical center , al ), 0.024000
( hartselle medical center , sal ), 0.001000
( stringfellow meumorial hospital , 2562358900 ), 0.001000
( stringfellow meumorial hospital , 36201 ), 0.001000
( stringfellow meumorial hospital , 10038 ), 0.001000
( stringfellow meumorial hospital , 301 east 18th st ), 0.001000
( stringfellow meumorial hospital , proprietary ), 0.001000
( stringfellow meumorial hospital , anniston ), 0.001000
( stringfellow meumorial hospital , al ), 0.001000
( coosa valley medical center , 2562495000 ), 0.018000
( coosa valley medical center , 35150 ), 0.017000
( coosa valley medical center , n35150 ), 0.001000
( coosa valley medical center , 10164 ), 0.018000
( coosa valley medical center , 315 w hickory st ), 0.018000
( coosa valley medical center , voluntary non-profit - other ), 0.018000
( coosa valley medical center , sylacauga ), 0.018000
( coosa valley medical center , al ), 0.018000
( russellville hospital , 2563321611 ), 0.002000
( russellville hospital , 35653 ), 0.002000
( russellville hospital , 10158 ), 0.002000
( russellville hospital , 15155 highway 43 ), 0.002000
( russellville hospital , proprietary ), 0.002000
( russellville hospital , russellville ), 0.002000
( russellville hospital , al ), 0.002000
( yukon kuskokwim delta reg hospital , 9075436300 ), 0.002000
( yukon kuskokwim delta reg hospital , 99559 ), 0.002000
( yukon kuskokwim delta reg hospital , 20018 ), 0.002000
( yukon kuskokwim delta reg hospital , po box 287 ), 0.002000
( yukon kuskokwim delta reg hospital , government - federal ), 0.002000
( yukon kuskokwim delta reg hospital , bethel ), 0.002000
( yukon kuskokwim delta reg hospital , ak ), 0.002000
( mg h lanier memorial hospital , 3347561400 ), 0.001000
( mg h lanier memorial hospital , 36854 ), 0.001000
