没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/2_flights/clean_index.csv
没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/2_flights/noise_with_correct_primary_key/dirty_mixed_2/dirty_flights_mix_2.csv
Running Horizon with dirty file: Data/2_flights/noise_with_correct_primary_key/dirty_mixed_2/dirty_flights_mix_2.csv
( CO-1614-LAX-IAH , 05:26 M ), 0.000421
( CO-1614-LAX-IAH , 05:26 AM ), 0.007997
( CO-1614-LAX-IAH , 05r:26 AM ), 0.000421
( CO-1614-LAX-IAH , 05:2u6 AM ), 0.000421
( CO-1614-LAX-IAH , 05:35 AM ), 0.009259
( CO-1614-LAX-IAH , 12:41 AM ), 0.009259
( CO-1614-LAX-IAH , 12:30 AM ), 0.008418
( CO-1614-LAX-IAH , empty ), 0.000842
( CO-1090-BOS-IAH , 01:19 PM ), 0.008838
( CO-1090-BOS-IAH , 01:16 PM ), 0.003367
( CO-1090-BOS-IAH , 01:16 MP ), 0.001263
( CO-1090-BOS-IAH , 01:6 PM ), 0.000421
( CO-1090-BOS-IAH , 011:6 PM ), 0.000421
( CO-1090-BOS-IAH , 1:16 PM ), 0.000842
( CO-1090-BOS-IAH , 01:x16 PM ), 0.000421
( CO-1090-BOS-IAH , 01:1 6PM ), 0.000421
( CO-1090-BOS-IAH , 0:116 PM ), 0.000421
( CO-1090-BOS-IAH , 01:16 PmM ), 0.000421
( CO-1090-BOS-IAH , 01:16P M ), 0.000842
( CO-1090-BOS-IAH , 10:19 AM ), 0.008838
( CO-1090-BOS-IAH , 09:45 AM ), 0.008418
( CO-1090-BOS-IAH , 09:4 AM ), 0.000421
( UA-828-SFO-ORD , 05:11 AM ), 0.018098
( UA-828-SFO-ORD , 0u5:11 AM ), 0.000421
( UA-828-SFO-ORD , empty ), 0.001684
( UA-828-SFO-ORD , 05:11 MA ), 0.000421
( UA-828-SFO-ORD , 11:08 PM ), 0.019781
( AA-4198-ORD-CLE , 12:50 PM ), 0.009680
( AA-4198-ORD-CLE , 2:50 PM ), 0.000421
( AA-4198-ORD-CLE , 12:50PM ), 0.000421
( AA-4198-ORD-CLE , 12:55 PM ), 0.010101
( AA-4198-ORD-CLE , empty ), 0.000842
( AA-4198-ORD-CLE , 10:54 AM ), 0.009680
( AA-4198-ORD-CLE , 10:4 AM ), 0.000421
( AA-4198-ORD-CLE , 10:40 AM ), 0.010101
( AA-4198-ORD-CLE , 10:40 jAM ), 0.000421
( UA-5487-SFO-MRY , 11:21 AM ), 0.007155
( UA-5487-SFO-MRY , 11:21q AM ), 0.000421
( UA-5487-SFO-MRY , 11:19 AM ), 0.006734
( UA-5487-SFO-MRY , empty ), 0.000421
( UA-5487-SFO-MRY , 1:19 AM ), 0.000421
( UA-5487-SFO-MRY , 10:33 AM ), 0.007576
( UA-5487-SFO-MRY , 10:39 AM ), 0.007576
( UA-2515-DFW-CLT , 10:47 AM ), 0.008418
( UA-2515-DFW-CLT , empty ), 0.000421
( UA-2515-DFW-CLT , 10:31 AM ), 0.008838
( UA-2515-DFW-CLT , 07:05 AM ), 0.017256
( UA-2515-DFW-CLT , 07r:05 AM ), 0.000421
( AA-2957-DFW-CVG , 11:01 AM ), 0.009259
( AA-2957-DFW-CVG , 11:0 AM ), 0.000421
( AA-2957-DFW-CVG , empty ), 0.001684
( AA-2957-DFW-CVG , 11:05 AM ), 0.009259
( AA-2957-DFW-CVG , 11:05 bAM ), 0.000421
( AA-2957-DFW-CVG , 11:05 M ), 0.000421
( AA-2957-DFW-CVG , 08:04 AM ), 0.010101
( AA-2957-DFW-CVG , 07:55 AM ), 0.010522
( UA-233-LAX-JFK , 12:29 AM ), 0.022727
( UA-233-LAX-JFK , 04:25 PM ), 0.021465
( UA-233-LAX-JFK , 4:25 PM ), 0.000421
( UA-233-LAX-JFK , empty ), 0.000421
( UA-233-LAX-JFK , 04:25P M ), 0.000421
( AA-400-DFW-JFK , 03:04 PM ), 0.009680
( AA-400-DFW-JFK , empty ), 0.000421
( AA-400-DFW-JFK , 02:59 PM ), 0.009680
( AA-400-DFW-JFK , 02:59 uPM ), 0.000421
( AA-400-DFW-JFK , 11:01 AM ), 0.010101
( AA-400-DFW-JFK , 10:40 AM ), 0.009259
( AA-400-DFW-JFK , 1:40 AM ), 0.000421
( AA-400-DFW-JFK , 10x:40 AM ), 0.000421
( AA-415-BOS-ORD , 10:16 AM ), 0.008838
( AA-415-BOS-ORD , 10:1 6AM ), 0.000421
( AA-415-BOS-ORD , 10:40 AM ), 0.009259
( AA-415-BOS-ORD , 08:56 AM ), 0.008418
( AA-415-BOS-ORD , 08:56 uAM ), 0.000421
( AA-415-BOS-ORD , empty ), 0.000421
( AA-415-BOS-ORD , 08:35 AM ), 0.008838
( AA-415-BOS-ORD , 08:35 oAM ), 0.000421
( CO-1561-PHX-IAH , 11:32 AM ), 0.008838
( CO-1561-PHX-IAH , 11:35 AM ), 0.008838
( CO-1561-PHX-IAH , 08:00 AM ), 0.008418
( CO-1561-PHX-IAH , empty ), 0.000842
( CO-1561-PHX-IAH , 0:805 AM ), 0.000421
( CO-1561-PHX-IAH , 08:05 AM ), 0.007997
( AA-1522-SFO-ORD , 05:50 AM ), 0.018939
( AA-1522-SFO-ORD , empty ), 0.000421
( AA-1522-SFO-ORD , 11:55 PM ), 0.018519
( AA-1522-SFO-ORD , 11:55 dPM ), 0.000421
( AA-1522-SFO-ORD , 11t:55 PM ), 0.000421
( CO-1088-CLE-IAH , 10:56 AM ), 0.007576
( CO-1088-CLE-IAH , empty ), 0.000421
( CO-1088-CLE-IAH , 10:6 AM ), 0.000421
( CO-1088-CLE-IAH , 10:54 AM ), 0.008418
( CO-1088-CLE-IAH , 08:40 AM ), 0.016414
( CO-1088-CLE-IAH , 8:40 AM ), 0.000421
( AA-4307-ORD-DTW , 08:53 PM ), 0.010943
( AA-4307-ORD-DTW , empty ), 0.001684
( AA-4307-ORD-DTW , 0853 PM ), 0.000421
( AA-4307-ORD-DTW , 09:10 PM ), 0.010943
( AA-4307-ORD-DTW , 0p9:10 PM ), 0.000421
( AA-4307-ORD-DTW , 06:55 PM ), 0.011364
( AA-4307-ORD-DTW , 06:45 PM ), 0.011364
( AA-1221-MCO-ORD , 09:53 PM ), 0.007576
( AA-1221-MCO-ORD , empty ), 0.000842
( AA-1221-MCO-ORD , 09:u53 PM ), 0.000421
( AA-1221-MCO-ORD , 09:53 MP ), 0.001263
( AA-1221-MCO-ORD , 09:53g PM ), 0.000421
( AA-1221-MCO-ORD , 9:53 PM ), 0.000421
( AA-1221-MCO-ORD , 095:3 PM ), 0.000421
( AA-1221-MCO-ORD , 09:f53 PM ), 0.000421
