没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/2_flights/clean_index.csv
没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/2_flights/noise_with_correct_primary_key/dirty_mixed_1.75/dirty_flights_mix_1.75.csv
Running Horizon with dirty file: Data/2_flights/noise_with_correct_primary_key/dirty_mixed_1.75/dirty_flights_mix_1.75.csv
( CO-4888-IAH-DAL , 06:40 PM ), 0.018098
( CO-4888-IAH-DAL , empty ), 0.001263
( CO-4888-IAH-DAL , 05:30 PM ), 0.017256
( CO-4888-IAH-DAL , 05:3 PM ), 0.000421
( UA-843-LAX-ORD , 07:58 PM ), 0.007997
( UA-843-LAX-ORD , 07:58 M ), 0.000421
( UA-843-LAX-ORD , empty ), 0.000842
( UA-843-LAX-ORD , 07:53 PM ), 0.008418
( UA-843-LAX-ORD , 02:10 PM ), 0.008418
( UA-843-LAX-ORD , 02:1g0 PM ), 0.000421
( UA-843-LAX-ORD , 01:55 PM ), 0.008418
( UA-843-LAX-ORD , 01:55 PdM ), 0.000421
( UA-3099-PHX-PHL , 05:38 PM ), 0.009259
( UA-3099-PHX-PHL , 5:38 PM ), 0.000421
( UA-3099-PHX-PHL , 06:17 PM ), 0.009259
( UA-3099-PHX-PHL , empty ), 0.000842
( UA-3099-PHX-PHL , 11:55 AM ), 0.018939
( UA-257-JFK-SFO , 05:42 PM ), 0.010943
( UA-257-JFK-SFO , empty ), 0.000842
( UA-257-JFK-SFO , 06:15 PM ), 0.010101
( UA-257-JFK-SFO , 06:5 PM ), 0.000421
( UA-257-JFK-SFO , 06:15 PiM ), 0.000421
( UA-257-JFK-SFO , 02:26 PM ), 0.011364
( UA-257-JFK-SFO , 02:30 PM ), 0.010943
( UA-257-JFK-SFO , 02:z30 PM ), 0.000421
( UA-2708-EWR-CLT , 04:44 PM ), 0.008418
( UA-2708-EWR-CLT , 04:53 PM ), 0.008418
( UA-2708-EWR-CLT , 02:55 PM ), 0.015993
( UA-2708-EWR-CLT , 02:55o PM ), 0.000421
( UA-2708-EWR-CLT , 0:55 PM ), 0.000421
( CO-63-EWR-IAH , 08:03 PM ), 0.008838
( CO-63-EWR-IAH , 08:22 PM ), 0.008838
( CO-63-EWR-IAH , 05:22 PM ), 0.008838
( CO-63-EWR-IAH , 05:25 PM ), 0.008418
( CO-63-EWR-IAH , 05:25 sPM ), 0.000421
( AA-4277-CVG-JFK , 01:43 PM ), 0.010522
( AA-4277-CVG-JFK , empty ), 0.000421
( AA-4277-CVG-JFK , 02:15 PM ), 0.010943
( AA-4277-CVG-JFK , 12:10 PM ), 0.021465
( AA-4277-CVG-JFK , 12:10P M ), 0.000421
( AA-431-MIA-SFO , 11:44 AM ), 0.010522
( AA-431-MIA-SFO , 11:44 AM*** ), 0.000421
( AA-431-MIA-SFO , empty ), 0.001263
( AA-431-MIA-SFO , 11:50 AM ), 0.010522
( AA-431-MIA-SFO , 11c:50 AM ), 0.000421
( AA-431-MIA-SFO , 08:51 AM ), 0.011364
( AA-431-MIA-SFO , 08:35 AM ), 0.010943
( AA-3979-CVG-ORD , 08:06 AM ), 0.010522
( AA-3979-CVG-ORD , 0806 AM ), 0.000421
( AA-3979-CVG-ORD , 08:00 AM ), 0.010522
( AA-3979-CVG-ORD , 08:o00 AM ), 0.000421
( AA-3979-CVG-ORD , 08:04 AM ), 0.010943
( AA-3979-CVG-ORD , 07:30 AM ), 0.010522
( AA-3979-CVG-ORD , 073:0 AM ), 0.000421
( AA-3859-IAH-ORD , 09:32 AM ), 0.011364
( AA-3859-IAH-ORD , 09:40 AM ), 0.010943
( AA-3859-IAH-ORD , empty ), 0.000421
( AA-3859-IAH-ORD , 07:16 AM ), 0.011364
( AA-3859-IAH-ORD , 07:10 AM ), 0.011364
( UA-2726-FLL-PHL , 06:28 PM ), 0.009259
( UA-2726-FLL-PHL , empty ), 0.001684
( UA-2726-FLL-PHL , 06:46 PM ), 0.009680
( UA-2726-FLL-PHL , 04:00 PM ), 0.017677
( UA-2726-FLL-PHL , 040:0 PM ), 0.000421
( AA-446-DFW-PHL , 04:09 PM ), 0.010522
( AA-446-DFW-PHL , empty ), 0.001263
( AA-446-DFW-PHL , 03:50 PM ), 0.010101
( AA-446-DFW-PHL , 3:50 PM ), 0.000421
( AA-446-DFW-PHL , 03:5t0 PM ), 0.000421
( AA-446-DFW-PHL , 12:12 PM ), 0.010522
( AA-446-DFW-PHL , 11:50 AM ), 0.010522
( UA-414-LAX-SFO , 07:17 AM ), 0.009680
( UA-414-LAX-SFO , 07:23 AM ), 0.009680
( UA-414-LAX-SFO , 05:56 AM ), 0.009259
( UA-414-LAX-SFO , empty ), 0.000842
( UA-414-LAX-SFO , 06:00 AM ), 0.009259
( CO-1561-PHX-IAH , 11:32 AM ), 0.008838
( CO-1561-PHX-IAH , 11:35 AM ), 0.008838
( CO-1561-PHX-IAH , 08:00 AM ), 0.008838
( CO-1561-PHX-IAH , 08:05 AM ), 0.008838
( UA-828-SFO-ORD , 05:11 AM ), 0.019360
( UA-828-SFO-ORD , empty ), 0.000842
( UA-828-SFO-ORD , 11:08 PM ), 0.019781
( UA-828-SFO-ORD , 11:08 M ), 0.000421
( AA-1664-MIA-ATL , 11:56 AM ), 0.010101
( AA-1664-MIA-ATL , 1:56 AM ), 0.000421
( AA-1664-MIA-ATL , empty ), 0.000842
( AA-1664-MIA-ATL , 12:10 PM ), 0.010943
( AA-1664-MIA-ATL , 10:18 AM ), 0.010522
( AA-1664-MIA-ATL , 10:15 AM ), 0.010943
( CO-50-CLE-EWR , 05:26 PM ), 0.008838
( CO-50-CLE-EWR , 04:49 PM ), 0.008838
( CO-50-CLE-EWR , 03:31 PM ), 0.008418
( CO-50-CLE-EWR , empty ), 0.000421
( CO-50-CLE-EWR , 02:55 PM ), 0.008418
( CO-50-CLE-EWR , 02:5 PM ), 0.000421
( AA-3823-LAX-DEN , 12:15 AM ), 0.021886
( AA-3823-LAX-DEN , 09:00 PM ), 0.020623
( AA-3823-LAX-DEN , 0h9:00 PM ), 0.000421
( AA-3823-LAX-DEN , 09:0 PM ), 0.000421
( AA-3823-LAX-DEN , empty ), 0.000421
( UA-858-PVG-SFO , 08:02 AM ), 0.006734
( UA-858-PVG-SFO , 08:02AM ), 0.000421
( UA-858-PVG-SFO , empty ), 0.001263
( UA-858-PVG-SFO , 08:27 AM ), 0.007155
( UA-858-PVG-SFO , 0132 PM ), 0.000421
( UA-858-PVG-SFO , 01:32 PM ), 0.006734
( UA-858-PVG-SFO , 01:45 PM ), 0.007576
( UA-938-DEN-ORD , 07:36 PM ), 0.009680
( UA-938-DEN-ORD , 07:35 PM ), 0.009680
( UA-938-DEN-ORD , 04:15 PM ), 0.009259
( UA-938-DEN-ORD , empty ), 0.000421
( UA-938-DEN-ORD , 04:16 PM ), 0.009259
( UA-938-DEN-ORD , 04:1 6PM ), 0.000421
( UA-3515-IAD-MSP , 09:56 AM ), 0.007997
( UA-3515-IAD-MSP , empty ), 0.001263
( UA-3515-IAD-MSP , 10:06 AM ), 0.007997
( UA-3515-IAD-MSP , 08:12 AM ), 0.008418
( UA-3515-IAD-MSP , 08:15 AM ), 0.007997
( AA-2957-DFW-CVG , 11:01 AM ), 0.010101
( AA-2957-DFW-CVG , 11:0z1 AM ), 0.000421
( AA-2957-DFW-CVG , 11:05 AM ), 0.010522
( AA-2957-DFW-CVG , 08:04 AM ), 0.010101
( AA-2957-DFW-CVG , empty ), 0.000421
( AA-2957-DFW-CVG , 07:55 AM ), 0.010101
( AA-2957-DFW-CVG , 0e7:55 AM ), 0.000421
( CO-1090-BOS-IAH , 0:19 PM ), 0.000421
( CO-1090-BOS-IAH , 01:19 PM ), 0.007997
( CO-1090-BOS-IAH , empty ), 0.000421
( CO-1090-BOS-IAH , 01:16 PM ), 0.003367
( CO-1090-BOS-IAH , 01b:16 PM ), 0.000421
( CO-1090-BOS-IAH , 01:16 iPM ), 0.000421
( CO-1090-BOS-IAH , 01:1p6 PM ), 0.000421
( CO-1090-BOS-IAH , 1:16 PM ), 0.000421
