没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/1_hospitals/clean_index.csv
没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/1_hospitals/noise_with_correct_primary_key/dirty_mixed_0.5/dirty_hospitals_mix_0.5.csv
Running Horizon with dirty file: Data/1_hospitals/noise_with_correct_primary_key/dirty_mixed_0.5/dirty_hospitals_mix_0.5.csv
( coosa valley medical center , 2562495000 ), 0.018000
( coosa valley medical center , 35150 ), 0.018000
( coosa valley medical center , 10164 ), 0.018000
( coosa valley medical center , 315 w hickory st ), 0.018000
( coosa valley medical center , voluntary non-profit - other ), 0.018000
( coosa valley medical center , sylacauga ), 0.017000
( coosa valley medical center , sylaacuga ), 0.001000
( coosa valley medical center , al ), 0.018000
( southeast alabama medical center , 3347938701 ), 0.023000
( southeast alabama medical center , 334793n8701 ), 0.001000
( southeast alabama medical center , 36302 ), 0.024000
( southeast alabama medical center , 10001 ), 0.024000
( southeast alabama medical center , 1108 ross clark circle ), 0.024000
( southeast alabama medical center , government - hospital district or authority ), 0.024000
( southeast alabama medical center , dothan ), 0.023000
( southeast alabama medical center , dyothan ), 0.001000
( southeast alabama medical center , al ), 0.024000
( fayette medical center , 2059325966 ), 0.023000
( fayette medical center , 20593v25966 ), 0.001000
( fayette medical center , 35555 ), 0.024000
( fayette medical center , 10045 ), 0.024000
( fayette medical center , 1653 temple avenue north ), 0.024000
( fayette medical center , voluntary non-profit - other ), 0.024000
( fayette medical center , fayette ), 0.024000
( fayette medical center , al ), 0.024000
( elba general hospital , 3348972257 ), 0.024000
( elba general hospital , empty ), 0.002000
( elba general hospital , 36323 ), 0.024000
( elba general hospital , 10027 ), 0.025000
( elba general hospital , 987 drayton street ), 0.025000
( elba general hospital , voluntary non-profit - other ), 0.025000
( elba general hospital , elba ), 0.025000
( elba general hospital , al ), 0.025000
( huntsville hospital , 2562651000 ), 0.027000
( huntsville hospital , 35801 ), 0.027000
( huntsville hospital , 10039 ), 0.027000
( huntsville hospital , 101 sivley rd ), 0.026000
( huntsville hospital , empty ), 0.001000
( huntsville hospital , government - hospital district or authority ), 0.027000
( huntsville hospital , huntsville ), 0.027000
( huntsville hospital , al ), 0.027000
( southwest alabama medical center , 3346366221 ), 0.023000
( southwest alabama medical center , 36784 ), 0.023000
( southwest alabama medical center , 10015 ), 0.023000
( southwest alabama medical center , 33700 highway 43 ), 0.022000
( southwest alabama medical center , 33m700 highway 43 ), 0.001000
( southwest alabama medical center , government - federal ), 0.023000
( southwest alabama medical center , thomasville ), 0.023000
( southwest alabama medical center , al ), 0.023000
( cherokee medical center , 2569275531 ), 0.024000
( cherokee medical center , empty ), 0.002000
( cherokee medical center , 35960 ), 0.025000
( cherokee medical center , 10022 ), 0.025000
( cherokee medical center , 400 northwood dr ), 0.024000
( cherokee medical center , voluntary non-profit - private ), 0.024000
( cherokee medical center , voluntary non-profit  private ), 0.001000
( cherokee medical center , centre ), 0.025000
( cherokee medical center , al ), 0.025000
( wedowee hospital , 2563572111 ), 0.024000
( wedowee hospital , 36278 ), 0.024000
( wedowee hospital , 10032 ), 0.024000
