没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/2_flights/clean_index.csv
没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/2_flights/noise_with_correct_primary_key/dirty_mixed_0.5/dirty_flights_mix_0.5.csv
Running Horizon with dirty file: Data/2_flights/noise_with_correct_primary_key/dirty_mixed_0.5/dirty_flights_mix_0.5.csv
( UA-2704-DTW-PHX , 02:00 PM ), 0.008838
( UA-2704-DTW-PHX , 01:40 PM ), 0.008838
( UA-2704-DTW-PHX , 11:15 AM ), 0.017256
( UA-2704-DTW-PHX , 11:15 AM*** ), 0.000421
( AA-1664-MIA-ATL , 11:56 AM ), 0.010943
( AA-1664-MIA-ATL , 12:10 PM ), 0.010943
( AA-1664-MIA-ATL , 10:18 AM ), 0.010943
( AA-1664-MIA-ATL , 10:15 AM ), 0.010943
( AA-415-BOS-ORD , 10:16 AM ), 0.008838
( AA-415-BOS-ORD , empty ), 0.000421
( AA-415-BOS-ORD , 10:40 AM ), 0.009259
( AA-415-BOS-ORD , 08:56 AM ), 0.009259
( AA-415-BOS-ORD , 08:35 AM ), 0.009259
( UA-2830-MCO-CLT , 05:17 PM ), 0.008838
( UA-2830-MCO-CLT , 05:05 PM ), 0.008838
( UA-2830-MCO-CLT , 03:27 PM ), 0.017677
( AA-1640-MIA-MCO , 07:25 PM ), 0.023148
( AA-1640-MIA-MCO , 07:2q5 PM ), 0.000421
( AA-1640-MIA-MCO , 06:30 PM ), 0.023148
( AA-1640-MIA-MCO , empty ), 0.000421
( CO-1090-BOS-IAH , 01:19 PM ), 0.008838
( CO-1090-BOS-IAH , 01:16 PM ), 0.005892
( CO-1090-BOS-IAH , empty ), 0.000421
( CO-1090-BOS-IAH , 01:16 M ), 0.000421
( CO-1090-BOS-IAH , 01:16 oPM ), 0.000421
( CO-1090-BOS-IAH , 01:1 6PM ), 0.000421
( CO-1090-BOS-IAH , 01:61 PM ), 0.000421
( CO-1090-BOS-IAH , 01:16 sPM ), 0.000421
( CO-1090-BOS-IAH , d01:16 PM ), 0.000421
( CO-1090-BOS-IAH , 10:19 AM ), 0.008838
( CO-1090-BOS-IAH , 09:45 AM ), 0.008838
( UA-938-DEN-ORD , 07:36 PM ), 0.009259
( UA-938-DEN-ORD , empty ), 0.000421
( UA-938-DEN-ORD , 07:35 PM ), 0.009680
( UA-938-DEN-ORD , 04:15 PM ), 0.009680
( UA-938-DEN-ORD , 04:16 PM ), 0.009680
( AA-1886-BOS-MIA , 01:40 PM ), 0.007997
( AA-1886-BOS-MIA , 02:20 PM ), 0.007997
( AA-1886-BOS-MIA , 10:55 AM ), 0.007997
( AA-1886-BOS-MIA , 10:45 AM ), 0.007997
( AA-789-ORD-DEN , 03:13 PM ), 0.010943
( AA-789-ORD-DEN , 03:13 PiM ), 0.000421
( AA-789-ORD-DEN , empty ), 0.000421
( AA-789-ORD-DEN , 02:35 PM ), 0.011785
( AA-789-ORD-DEN , 01:19 PM ), 0.011785
( AA-789-ORD-DEN , 01:05 PM ), 0.011785
( AA-431-MIA-SFO , 11:44 AM ), 0.011364
( AA-431-MIA-SFO , 11:50 AM ), 0.011364
( AA-431-MIA-SFO , 08:51 AM ), 0.010943
( AA-431-MIA-SFO , 08:1 AM ), 0.000421
( AA-431-MIA-SFO , 08:35 AM ), 0.011364
( UA-2945-PHL-CLT , 01:15 PM ), 0.010101
( UA-2945-PHL-CLT , 01:45 PM ), 0.009680
( UA-2945-PHL-CLT , 0u1:45 PM ), 0.000421
( UA-2945-PHL-CLT , 03:11 AM ), 0.010101
( UA-2945-PHL-CLT , 12:00 AM ), 0.010101
( UA-664-ORD-PHL , 04:23 PM ), 0.012205
( UA-664-ORD-PHL , 04:31 PM ), 0.012205
( UA-664-ORD-PHL , 01:31 PM ), 0.012205
( UA-664-ORD-PHL , 01:33 PM ), 0.012205
( AA-2312-DFW-DTW , 11:50 PM ), 0.022306
( AA-2312-DFW-DTW , empty ), 0.000421
( AA-2312-DFW-DTW , 08:25 PM ), 0.022727
