没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/1_hospitals/clean_index.csv
没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/1_hospitals/noise_with_correct_primary_key/dirty_mixed_1.25/dirty_hospitals_mix_1.25.csv
Running Horizon with dirty file: Data/1_hospitals/noise_with_correct_primary_key/dirty_mixed_1.25/dirty_hospitals_mix_1.25.csv
( crenshaw community hospital , 3343353374 ), 0.013000
( crenshaw community hospital , 36049 ), 0.012000
( crenshaw community hospital , 3604t9 ), 0.001000
( crenshaw community hospital , 10008 ), 0.013000
( crenshaw community hospital , 101 hospital circle ), 0.012000
( crenshaw community hospital , empty ), 0.001000
( crenshaw community hospital , government - federal ), 0.013000
( crenshaw community hospital , luverne ), 0.013000
( crenshaw community hospital , al ), 0.013000
( communityx hospital inc , 3342836541 ), 0.001000
( communityx hospital inc , 36078 ), 0.001000
( communityx hospital inc , 10034 ), 0.001000
( communityx hospital inc , 805 friendship road ), 0.001000
( communityx hospital inc , voluntary non-profit - private ), 0.001000
( communityx hospital inc , tallassee ), 0.001000
( communityx hospital inc , al ), 0.001000
( callahan eye foundation hospitla , 2053258100 ), 0.001000
( callahan eye foundation hospitla , 35233 ), 0.001000
( callahan eye foundation hospitla , 10018 ), 0.001000
( callahan eye foundation hospitla , 1720 university blvd ), 0.001000
( callahan eye foundation hospitla , voluntary non-profit - private ), 0.001000
( callahan eye foundation hospitla , birmingham ), 0.001000
( callahan eye foundation hospitla , al ), 0.001000
( callahan eye foundatyion hospital , 2053258100 ), 0.001000
( callahan eye foundatyion hospital , 35233 ), 0.001000
( callahan eye foundatyion hospital , 10018 ), 0.001000
( callahan eye foundatyion hospital , 1720 university blvd ), 0.001000
( callahan eye foundatyion hospital , voluntary non-profit - private ), 0.001000
( callahan eye foundatyion hospital , birmingam ), 0.001000
( callahan eye foundatyion hospital , al ), 0.001000
( eliza coffee memorial hospital , 2567688400 ), 0.023000
( eliza coffee memorial hospital , 35631 ), 0.023000
( eliza coffee memorial hospital , 10006 ), 0.023000
( eliza coffee memorial hospital , 205 marengo street ), 0.023000
( eliza coffee memorial hospital , voluntary non-profit - other ), 0.023000
( eliza coffee memorial hospital , florence ), 0.022000
( eliza coffee memorial hospital , empty ), 0.002000
( eliza coffee memorial hospital , al ), 0.021000
( eliza coffee memorial hospital , la ), 0.001000
( cayllahan eye foundation hospital , 2053258100 ), 0.001000
( cayllahan eye foundation hospital , 35233 ), 0.001000
( cayllahan eye foundation hospital , 10018 ), 0.001000
( cayllahan eye foundation hospital , empty ), 0.001000
( cayllahan eye foundation hospital , voluntary non-profit - private ), 0.001000
( cayllahan eye foundation hospital , birmingham ), 0.001000
