Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: beer_name, MSE: nan, Jaccard: 0.0
Attribute: style, MSE: nan, Jaccard: 0.03883495145631066
Attribute: ounces, MSE: nan, Jaccard: 0.2222222222222222
Attribute: abv, MSE: 2.4850936967632022e-06, Jaccard: 0.35572248518475846
Attribute: ibu, MSE: 0.0, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.0011904761904760752
Attribute: brewery_name, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.056141774891774854
Attribute: state, MSE: nan, Jaccard: 0.0
加权混合距离: 0.0306415634108745
