Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.002216943784639769
Attribute: lname, MSE: nan, Jaccard: 0.006930225232320009
Attribute: gender, MSE: nan, Jaccard: 0.0
Attribute: areacode, MSE: nan, Jaccard: 0.0076055894254386525
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.013424688616895497
Attribute: state, MSE: nan, Jaccard: 0.02840178285280537
Attribute: zip, MSE: nan, Jaccard: 0.021275100401606406
Attribute: maritalstatus, MSE: nan, Jaccard: 0.3376992789574651
Attribute: haschild, MSE: nan, Jaccard: 0.34650634397293034
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 0.0, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.007176933923071838
Attribute: marriedexemp, MSE: nan, Jaccard: 0.0
Attribute: childexemp, MSE: nan, Jaccard: 0.0
加权混合距离: 0.024101152723974156
