没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/1_hospital/clean_index.csv
没有指定错误比例，仅进行原数据集的空值替换，不添加错误
已将注入错误的文件保存到: Data/1_hospital/dirty_index.csv
Running Horizon with dirty file: Data/1_hospital/dirty_index.csv
( huntsvxlle hospxtal , 2562651000 ), 0.001000
( huntsvxlle hospxtal , 35801 ), 0.001000
( huntsvxlle hospxtal , 10039 ), 0.001000
( huntsvxlle hospxtal , 101 sivley rd ), 0.001000
( huntsvxlle hospxtal , government - hospital district or authority ), 0.001000
( huntsvxlle hospxtal , huntsville ), 0.001000
( huntsvxlle hospxtal , al ), 0.001000
( communixy hospixal inc , 3342836541 ), 0.001000
( communixy hospixal inc , 36x78 ), 0.001000
( communixy hospixal inc , 10034 ), 0.001000
( communixy hospixal inc , 805 friendship road ), 0.001000
( communixy hospixal inc , voluntary non-profit - private ), 0.001000
( communixy hospixal inc , tallassee ), 0.001000
( communixy hospixal inc , al ), 0.001000
( univ of south alabama medical center , 2514717110 ), 0.009000
( univ of south alabama medical center , 25x47x7xx0 ), 0.002000
( univ of south alabama medical center , 36617 ), 0.011000
( univ of south alabama medical center , 10087 ), 0.011000
( univ of south alabama medical center , 2451 fillingim street ), 0.011000
( univ of south alabama medical center , government - state ), 0.011000
( univ of south alabama medical center , mobile ), 0.011000
( univ of south alabama medical center , al ), 0.010000
( univ of south alabama medical center , xl ), 0.001000
( st vincents bxount , 2052743000 ), 0.001000
( st vincents bxount , 35121 ), 0.001000
( st vincents bxount , 10050 ), 0.001000
( st vincents bxount , 150 gilbreath drive ), 0.001000
( st vincents bxount , voluntary non-profit - private ), 0.001000
( st vincents bxount , oneonta ), 0.001000
( st vincents bxount , al ), 0.001000
( st vincents east , 2058383122 ), 0.024000
( st vincents east , 2058x8x122 ), 0.001000
( st vincents east , 35235 ), 0.024000
( st vincents east , 3x23x ), 0.001000
( st vincents east , 10011 ), 0.024000
( st vincents east , x00xx ), 0.001000
( st vincents east , 50 medical park east drive ), 0.025000
( st vincents east , voluntary non-profit - private ), 0.023000
( st vincents east , volunxary non-profix - privaxe ), 0.001000
( st vincents east , voluntary nonxprofit x private ), 0.001000
( st vincents east , birmingham ), 0.023000
( st vincents east , birmixgham ), 0.001000
( st vincents east , bxrmxngham ), 0.001000
( st vincents east , al ), 0.025000
( crenshaw cxmmunity hxspital , 3343353374 ), 0.001000
( crenshaw cxmmunity hxspital , 36049 ), 0.001000
( crenshaw cxmmunity hxspital , 10008 ), 0.001000
( crenshaw cxmmunity hxspital , 101 hospital circle ), 0.001000
( crenshaw cxmmunity hxspital , government - federal ), 0.001000
( crenshaw cxmmunity hxspital , luverne ), 0.001000
( crenshaw cxmmunity hxspital , al ), 0.001000
( st vincents blount , 2052743000 ), 0.019000
( st vincents blount , 35121 ), 0.019000
( st vincents blount , 10050 ), 0.019000
( st vincents blount , 150 gilbreath drive ), 0.018000
( st vincents blount , 150 gilxreath drive ), 0.001000
( st vincents blount , voluntary non-profit - private ), 0.019000
( st vincents blount , oneonta ), 0.018000
( st vincents blount , onxonta ), 0.001000
( st vincents blount , al ), 0.019000
( marion regional medical center , 2059216200 ), 0.023000
( marion regional medical center , x059x16x00 ), 0.001000
( marion regional medical center , 20x9216200 ), 0.001000
( marion regional medical center , 35570 ), 0.025000
( marion regional medical center , 10044 ), 0.024000
( marion regional medical center , 1xx44 ), 0.001000
( marion regional medical center , 1256 military street south ), 0.024000
( marion regional medical center , 1256 military street sxuth ), 0.001000
( marion regional medical center , voluntary non-profit - private ), 0.023000
( marion regional medical center , voluxtary xox-profit - private ), 0.001000
( marion regional medical center , voluntaxy non-pxofit - pxivate ), 0.001000
( marion regional medical center , hamilton ), 0.024000
( marion regional medical center , hamilxon ), 0.001000
( marion regional medical center , al ), 0.025000
( dale medical center , 3347742601 ), 0.024000
( dale medical center , 334774x601 ), 0.001000
( dale medical center , 36360 ), 0.024000
( dale medical center , x6x60 ), 0.001000
( dale medical center , 10021 ), 0.025000
( dale medical center , 126 hospital ave ), 0.023000
( dale medical center , 126xhospitalxave ), 0.001000
( dale medical center , 1x6 hospital ave ), 0.001000
( dale medical center , government - hospital district or authority ), 0.025000
( dale medical center , ozark ), 0.023000
( dale medical center , ozarx ), 0.001000
( dale medical center , xzark ), 0.001000
( dale medical center , al ), 0.023000
( dale medical center , xl ), 0.002000
( xivexview xegional medical centex , 2565435200 ), 0.001000
( xivexview xegional medical centex , 35901 ), 0.001000
( xivexview xegional medical centex , 10046 ), 0.001000
( xivexview xegional medical centex , 600 south third street ), 0.001000
( xivexview xegional medical centex , proprietary ), 0.001000
( xivexview xegional medical centex , gadsden ), 0.001000
( xivexview xegional medical centex , al ), 0.001000
( andaxusia regionax hospitax , 3342228466 ), 0.001000
( andaxusia regionax hospitax , 36420 ), 0.001000
( andaxusia regionax hospitax , 10036 ), 0.001000
( andaxusia regionax hospitax , 849 south three notch street ), 0.001000
( andaxusia regionax hospitax , proprietary ), 0.001000
( andaxusia regionax hospitax , andalusia ), 0.001000
( andaxusia regionax hospitax , al ), 0.001000
( cullman regional medical center , 2567372000 ), 0.024000
( cullman regional medical center , 35058 ), 0.024000
( cullman regional medical center , 10035 ), 0.022000
( cullman regional medical center , 100x5 ), 0.001000
( cullman regional medical center , 1xx35 ), 0.001000
( cullman regional medical center , 1912 alabama highway 157 ), 0.023000
( cullman regional medical center , 1912xalabamaxhighwayx157 ), 0.001000
( cullman regional medical center , government - hospital district or authority ), 0.024000
