id,brewery_id,brewery_name,beer_name,style,ounces,abv,ibu,city,state
1436,408,10 Barrel Brewing Company,Pub Beer,American Pale Lager,12.0 oz,0.05,empty,Bend,OR
2265,177,18th Street Brewery,Devil's Cup,American Pale Ale (APA),12.0 oz.,0.066,empty,Gary,IN
2264,177,18th Street Brewery,Rise of the Phoenix,American IPA,12.0 ounce,0.071,empty,Gary,IN
2263,177,18th Street Brewery,Sinister,American Double / Imperial IPA,12.0 oz,0.09%,empty,Gary,IN
2262,177,18th Street Brewery,Sex and Candy,American IPA,12.0 OZ.,0.075,empty,Gary,IN
2261,177,18th Street Brewery,Black Exodus,Oatmeal Stout,12.0 oz,0.077,empty,Gary,IN
2260,177,18th Street Brewery,Lake Street Express,American Pale Ale (APA),12.0 oz.,0.05%,empty,Gary,IN
2259,177,18th Street Brewery,Foreman,American Porter,12.0 ounce,0.065,empty,Gary,IN
2258,177,18th Street Brewery,Jade,American Pale Ale (APA),12.0 oz.,0.055,empty,Gary,IN
2131,177,18th Street Brewery,Cone Crusher,American Double / Imperial IPA,12.0 ounce,0.086,empty,Gary,IN
2099,177,18th Street Brewery,Sophomoric Saison,Saison / Farmhouse Ale,12.0 oz.,0.072,empty,Gary,IN
2098,177,18th Street Brewery,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0 oz.,0.073,empty,Gary,IN
2097,177,18th Street Brewery,Garce Selé,Saison / Farmhouse Ale,12.0 OZ.,0.07%,empty,Gary,IN
1980,177,18th Street Brewery,Troll Destroyer,Belgian IPA,12.0 oz.,0.085,empty,Gary,IN
1979,177,18th Street Brewery,Bitter Bitch,American Pale Ale (APA),12.0 ounce,0.06%,60.0,Gary,IN
2318,154,2 Towns Ciderhouse,Ginja Ninja,Cider,12.0 ounce,0.06,empty,Corvallis,OR
2170,154,2 Towns Ciderhouse,Cherried Away,Cider,12.0 oz.,0.06,empty,Corvallis,OR
2169,154,2 Towns Ciderhouse,Rhubarbarian,Cider,12.0 oz. Alumi-Tek,0.06,empty,Corvallis,OR
1502,154,2 Towns Ciderhouse,BrightCider,Cider,12.0 ounce,0.06,empty,Corvallis,OR
1593,368,21st Amendment Brewery,He Said Baltic-Style Porter,Baltic Porter,12.0 oz.,0.082,empty,San Francisco,CA
1592,0,21st Amendment Brewery,He Said Belgian-Style Tripel,Tripel,12.0 oz.,0.082,empty,San Francisco,CA
1036,368,21st Amendment Brewery,Lower De Boom,American Barleywine,8.4 ounce,0.099,92.0,San Francisco,CA
1024,368,21st Amendment Brewery,Fireside Chat,Winter Warmer,12.0 OZ.,0.079,45.0,San Francisco,CA
976,368,21st Amendment Brewery,Marooned On Hog Island,American Stout,12.0 oz.,0.079,empty,San Francisco,CA
876,368,21st Amendment Brewery,Bitter American,American Pale Ale (APA),12.0 oz,0.044,42.0,San Francisco,CA
802,368,21st Amendment Brewery,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0 ounce,0.049,17.0,San Francisco,CA
801,368,21st Amendment Brewery,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0 oz.,0.05%,17.0,San Francisco,CA
800,368,21st Amendment Brewery,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0 oz.,0.049,17.0,San Francisco,CA
799,368,21st Amendment Brewery,21st Amendment IPA (2006),American IPA,12.0 oz.,0.07,70.0,San Francisco,CA
797,368,21st Amendment Brewery,Brew Free! or Die IPA (2008),American IPA,12.0 OZ.,0.07%,70.0,San Francisco,CA
796,368,21st Amendment Brewery,Brew Free! or Die IPA (2009),American IPA,12.0 oz.,0.07%,70.0,San Francisco,CA
531,368,21st Amendment Brewery,Special Edition: Allies Win The War!,English Strong Ale,12.0 oz.,0.085,52.0,San Francisco,CA
432,368,21st Amendment Brewery,Hop Crisis,American Double / Imperial IPA,12.0 oz.,0.097,94.0,San Francisco,CA
353,368,21st Amendment Brewery,Bitter American (2011),American Pale Ale (APA),12.0 oz,0.044,42.0,San Francisco,CA
321,368,21st Amendment Brewery,Fireside Chat (2010),Winter Warmer,12.0 ounce,0.08%,45.0,San Francisco,CA
173,368,21st Amendment Brewery,Back in Black,American Black Ale,12.0 ounce,0.07%,65.0,San Francisco,CA
11,368,21st Amendment Brewery,Monk's Blood,Belgian Dark Ale,12.0 OZ.,0.083,35.0,San Francisco,CA
10,368,21st Amendment Brewery,Brew Free! or Die IPA,American IPA,12.0 oz.,0.07,65.0,San Francisco,CA
9,368,21st Amendment Brewery,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0 oz.,0.049,17.0,San Francisco,CA
2519,67,3 Daughters Brewing,Bimini Twist,American IPA,12.0 ounce,0.07,82.0,St Petersburg,FL
2518,67,3 Daughters Brewing,Beach Blonde,American Blonde Ale,12.0 oz.,0.05,empty,St Petersburg,FL
2517,67,3 Daughters Brewing,Rod Bender Red,American Amber / Red Ale,12.0 oz.,0.059,empty,St Petersburg,FL
2545,60,4 Hands Brewing Company,Passion Fruit Prussia,Berliner Weissbier,12.0 oz,0.035,11.0,Saint Louis,MO
2544,60,4 Hands Brewing Company,Send Help,American Blonde Ale,12.0 oz,0.05%,18.0,Saint Louis,MO
2324,60,4 Hands Brewing Company,Cast Iron Oatmeal Brown,American Brown Ale,12.0 oz,0.06%,empty,Saint Louis,MO
2288,60,4 Hands Brewing Company,Reprise Centennial Red,American Amber / Red Ale,12.0 oz.,0.06,empty,Saint Louis,MO
2287,60,4 Hands Brewing Company,Alter Ego,American Black Ale,12.0 oz.,0.06%,empty,Saint Louis,MO
2286,0,4 Hands Brewing Company,Divided Sky,American IPA,12.0 oz,0.065,empty,Saint Louis,MO
2285,60,4 Hands Brewing Company,Resurrected,American IPA,12.0 oz.,0.065,empty,Saint Louis,MO
1870,60,4 Hands Brewing Company,Contact High,American Pale Wheat Ale,12.0 oz.,0.05,28.0,Saint Louis,MO
2603,27,450 North Brewing Company,Galaxyfest,American IPA,16.0 ounce,0.065,empty,Columbus,IN
2602,27,450 North Brewing Company,Citrafest,American IPA,16.0 ounce,0.05,45.0,Columbus,IN
2220,27,450 North Brewing Company,Barn Yeti,Belgian Strong Dark Ale,16.0 oz.,0.09,empty,Columbus,IN
2219,27,450 North Brewing Company,Scarecrow,American IPA,16.0 oz.,0.069,65.0,Columbus,IN
2218,27,450 North Brewing Company,Ironman,English Strong Ale,16.0 oz. Alumi-Tek,0.09%,50.0,Columbus,IN
2217,27,450 North Brewing Company,Honey Kolsch,Kölsch,16.0 ounce,0.05%,15.0,Columbus,IN
