277.hospitalowner,oluntary non-profit - church,voluntary non-profit - church
154.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
695.hospitalname,communityx hospital inc,community hospital inc
683.measurename,pneumonia patients assessed and given influenza vaccination***,pneumonia patients assessed and given influenza vaccination
266.hospitalname,callahan eye foundation hospital,southwest alabama medical center
747.city,andaulsia,andalusia
32.city,dthan,dothan
99.zipcode,35233,36467
463.stateavg,al_scip-ixnf-4,al_scip-inf-4
121.hospitalname,callahan eye foundation hospital,crenshaw community hospital
585.emergencyservice,yecs,yes
155.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given smoking cessation advice/counseling
348.stateavg,al_scip-vteu-2,al_scip-vte-2
727.state,l,al
218.hospitalname,callahan eye foundation hospital,st vincents east
458.address1,1300s outh montgomery avenue,1300 south montgomery avenue
954.city,georgaina,georgiana
221.hospitalname,callahan eye foundation hospital,dekalb regional medical center
304.hospitalname,callahan eye foundatyion hospital,callahan eye foundation hospital
303.hospitalname,callahan eye foundtaion hospital,callahan eye foundation hospital
122.countyname,cernshaw,crenshaw
286.countyname,helby,shelby
273.hospitalname,callahan eye foundation hospital,shelby baptist medical center
692.address1,805 friendshp road,805 friendship road
455.hospitalname,helen keller memdorial hospital,helen keller memorial hospital
734.countyname,cullmna,cullman
175.condition,heart attak,heart attack
153.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given an evaluation of left ventricular systolic (lvs) function
156.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,pneumonia patients assessed and given pneumococcal vaccination
59.address1,2505 u s khighway 431 north,2505 u s highway 431 north
135.hospitalname,callahan eye foundation hospital,crenshaw community hospital
572.countyname,hambers,chambers
276.city,birmingham,alabaster
658.zipcode,i36278,36278
607.city,elab,elba
213.stateavg,la_scip-inf-1,al_scip-inf-1
263.hospitalname,callahan eye foundation hospital,southwest alabama medical center
69.address1,2505 u s highwday 431 north,2505 u s highway 431 north
238.hospitalname,callahan eye foundation hospital,dekalb regional medical center
20.condition,kheart attack,heart attack
284.countyname,shebly,shelby
762.address1,49 south three notch street,849 south three notch street
276.hospitalname,callahan eye foundation hospital,shelby baptist medical center
157.measurename,pneumonia patients whose initial emergency room blood culture was perfored prior to the administration of the first hospital dose of antibiotics,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
52.condition,heart fialure,heart failure
97.zipcode,35233,36467
247.zipcode,367w84,36784
225.hospitalname,callahan eye foundation hospital,dekalb regional medical center
675.emergencyservice,yse,yes
971.zipcode,3a6330,36330
2.hospitalname,callahan eye foundatio hospital,callahan eye foundation hospital
778.measurename,heart attack ptients given aspirin at arrival,heart attack patients given aspirin at arrival
283.countyname,tshelby,shelby
310.state,yal,al
280.city,birmingham,alabaster
457.city,sehffield,sheffield
124.hospitalname,callahan eye foundation hospital,crenshaw community hospital
139.hospitalname,callahan eye foundation hospital,crenshaw community hospital
673.emergencyservice,yehs,yes
160.zipcode,35a640,35640
582.stateavg,la_pn-6,al_pn-6
814.stateavg,a_lpn-2,al_pn-2
924.stateavg,yal_scip-inf-1,al_scip-inf-1
458.phonenumber,25638g64556,2563864556
481.emergencyservice,yse,yes
285.countyname,shelyb,shelby
507.emergencyservice,yeos,yes
270.measurename,heart attack patients given aspirin at arival,heart attack patients given aspirin at arrival
693.city,tlalassee,tallassee
130.zipcode,3604t9,36049
119.hospitalowner,voluntary non-pmrofit - private,voluntary non-profit - private
940.state,l,al
462.phonenumber,256364556,2563864556
122.hospitalname,callahan eye foundation hospital,crenshaw community hospital
677.emergencyservice,es,yes
460.city,shefield,sheffield
699.stateavg,al_h-f1,al_hf-1
18.countyname,jfferson,jefferson
907.condition,heatr attack,heart attack
676.emergencyservice,ywes,yes
236.hospitalname,dekalb reginal medical center,dekalb regional medical center
120.condition,eart attack,heart attack
690.hospitalowner,geovernment - state,government - state
971.hospitalname,mqedical center enterprise,medical center enterprise
96.hospitalname,mizell memorial hosprital,mizell memorial hospital
999.state,l,al
125.emergencyservice,ys,yes
222.hospitalname,callahan eye foundation hospital,dekalb regional medical center
832.emergencyservice,ytes,yes
272.hospitalname,callahan eye foundation hospital,shelby baptist medical center
209.hospitalname,st vncents east,st vincents east
265.hospitalname,callahan eye foundation hospital,southwest alabama medical center
930.countyname,eowah,etowah
5.hospitalname,cayllahan eye foundation hospital,callahan eye foundation hospital
959.stateavg,alami-4,al_ami-4
467.measurename,heart attack patients given aspirin aft arrival,heart attack patients given aspirin at arrival
776.condition,childrens asthma care,children s asthma care
95.zipcode,35233,36467
306.state,l,al
881.stateavg,a_ami-4,al_ami-4
460.hospitalowner,government - ohspital district or authority,government - hospital district or authority
274.countyname,selby,shelby
465.hospitalname,helen keller memorial hospigtal,helen keller memorial hospital
138.hospitalname,callahan eye foundation hospital,crenshaw community hospital
957.condition,heart attack***,heart attack
220.measurename,heart ttack patients given aspirin at arrival,heart attack patients given aspirin at arrival
