Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.835358506422672
Attribute: areacode, MSE: nan, Jaccard: 0.04115816975193398
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.040116243405716956
Attribute: state, MSE: nan, Jaccard: 0.3258950196145318
Attribute: zip, MSE: nan, Jaccard: 0.02518335044108244
Attribute: maritalstatus, MSE: nan, Jaccard: 0.3372967768349263
Attribute: haschild, MSE: nan, Jaccard: 0.3366693867101874
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 2.958228394578794e-32, Jaccard: 0.17647058823529416
Attribute: singleexemp, MSE: nan, Jaccard: 0.5370895467079142
Attribute: marriedexemp, MSE: nan, Jaccard: 0.7193044851766297
Attribute: childexemp, MSE: nan, Jaccard: 0.5803242042089493
加权混合距离: 0.12358957117218247
