index,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,07:10 AM,07:16 AM,09:40 AM,09:22 AM
2,aa,0,07:45 PM,07:59 PM,10:30 PM,empty
3,aa,AA-1640-MIA-MCO,06:30 PM,empty,07:25 PM,empty
4,aa,AA-518-MIA-JFK,06:40 AM,06:54 AM,09:25 AM,09:28 AM
5,aa,AA-3756-ORD-SLC,12:15 PM,12:41 PM,0,02:46 PM
6,aa,0,11:25 PM,empty,6:55 AM Dec 02,empty
7,aa,AA-3468-CVG-MIA,07:00 AM,07:25 AM,09:55 AM,09:45 AM
8,aa,AA-484-DFW-MIA,04:15 PM,04:29 PM,07:55 PM,07:39 PM
9,aa,0,11:50 AM,12:13 PM,03:50 PM,04:09 PM
10,aa,AA-466-IAH-MIA,06:00 AM,06:08 AM,09:20 AM,09:05 AM
11,aa,0,empty,10:55 AM,02:20 PM,01:40 PM
12,aa,AA-2957-DFW-CVG,07:55 AM,08:04 AM,11:05 AM,11:01 AM
13,aa,0,10:15 AM,10:19 AM,0,11:50 AM
14,aa,AA-3979-CVG-ORD,07:30 AM,08:04 AM,08:00 AM,08:06 AM
15,aa,AA-1279-DFW-PHX,01:00 PM,02:04 PM,0,03:13 PM
16,aa,AA-616-DFW-DTW,09:05 AM,10:10 AM,12:35 PM,01:27 PM
17,aa,0,empty,12:14 PM,02:00 PM,02:10 PM
18,aa,0,07:25 AM,07:39 AM,11:10 AM,11:06 AM
19,aa,AA-404-MIA-MCO,06:45 AM,06:57 AM,07:45 AM,07:40 AM
20,aa,AA-271-MIA-LAX,11:35 AM,11:52 AM,02:25 PM,02:27 PM
21,aa,AA-2050-ORD-MIA,10:40 AM,11:05 AM,02:45 PM,02:46 PM
22,aa,0,empty,03:36 PM,04:00 PM,03:33 PM
23,aa,AA-1434-DFW-MCO,07:15 AM,07:21 AM,10:35 AM,10:36 AM
24,aa,AA-4307-ORD-DTW,06:45 PM,06:55 PM,09:10 PM,08:53 PM
25,aa,AA-3-JFK-LAX,12:00 PM,12:11 PM,03:15 PM,03:16 PM
26,aa,AA-3842-MSP-ORD,06:00 AM,06:56 AM,07:30 AM,07:51 AM
27,aa,AA-643-MIA-ORD,07:10 AM,07:30 AM,09:35 AM,09:31 AM
28,aa,0,empty,05:09 PM,08:05 PM,07:55 PM
29,aa,AA-1221-MCO-ORD,08:00 PM,08:23 PM,09:45 PM,09:53 PM
30,aa,0,10:40 AM,11:02 AM,02:59 PM,03:04 PM
31,aa,AA-4198-ORD-CLE,10:40 AM,10:54 AM,12:55 PM,12:50 PM
32,aa,0,11:55 PM,empty,5:50 AM Dec 02,empty
33,aa,0,09:00 PM,empty,12:15 AM Dec 02,empty
34,aa,AA-2312-DFW-DTW,08:25 PM,empty,11:50 PM,empty
35,aa,AA-1165-JFK-MIA,06:59 AM,07:22 AM,10:34 AM,10:04 AM
36,aa,AA-431-MIA-SFO,08:35 AM,08:51 AM,11:50 AM,11:44 AM
37,aa,AA-649-ORD-SNA,01:30 PM,empty,0,04:09 PM
38,aa,0,empty,08:40 PM,0,9:19 PM (Estimated)
39,aa,AA-3804-PHL-ORD,02:35 PM,02:44 PM,04:05 PM,03:43 PM
40,aa,AA-1917-JFK-MCO,02:55 PM,03:27 PM,05:55 PM,05:43 PM
41,aa,AA-2268-PHX-ORD,07:15 AM,07:22 AM,11:35 AM,11:06 AM
42,aa,AA-4277-CVG-JFK,12:10 PM,12:10 PM,02:15 PM,01:43 PM
43,aa,AA-789-ORD-DEN,01:05 PM,01:19 PM,02:35 PM,03:13 PM
44,aa,0,empty,08:56 AM,10:40 AM,10:16 AM
45,aa,AA-85-JFK-SFO,03:05 PM,03:36 PM,06:30 PM,06:43 PM
46,aa,0,empty,11:41 AM,05:25 PM,04:56 PM
47,aa,AA-3786-IAH-ORD,04:00 PM,04:12 PM,06:40 PM,06:15 PM
48,aa,AA-222-LAX-BOS,07:10 AM,07:31 AM,03:30 PM,03:14 PM
