Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: article_title, MSE: nan, Jaccard: 1.0
Attribute: article_language, MSE: nan, Jaccard: 0.7923728507113114
Attribute: journal_title, MSE: nan, Jaccard: 1.0
Attribute: journal_abbreviation, MSE: nan, Jaccard: 1.0
Attribute: journal_issn, MSE: nan, Jaccard: 0.34128065395095364
Attribute: article_jvolumn, MSE: nan, Jaccard: 0.017337992589300133
Attribute: article_jissue, MSE: nan, Jaccard: 0.21966158226010446
Attribute: article_jcreated_at, MSE: nan, Jaccard: 0.7451219512195122
Attribute: article_pagination, MSE: nan, Jaccard: 0.2693836978131213
Attribute: author_list, MSE: nan, Jaccard: 1.0
Weighted Hybrid Distance: 0.26604828035601263
