src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,AA-3859-IAH-ORD,07:10 AM,07:16 AM,09:40 AM,09:32 AM
aa,AA-1733-ORD-PHX,07:45 PM,07:58 PM,10:30 PM,
aa,AA-1640-MIA-MCO,06:30 PM,,07:25 PM,
aa,AA-518-MIA-JFK,06:40 AM,06:54 AM,09:25 AM,09:28 AM
aa,AA-3756-ORD-SLC,12:15 PM,12:41 PM,02:45 PM,02:50 PM
aa,AA-204-LAX-MCO,11:25 PM,,12/02/2011 6:55 AM,
aa,AA-3468-CVG-MIA,07:00 AM,07:25 AM,09:55 AM,09:45 AM
aa,AA-484-DFW-MIA,04:15 PM,04:29 PM,07:55 PM,07:39 PM
aa,AA-446-DFW-PHL,11:50 AM,12:12 PM,03:50 PM,04:09 PM
aa,AA-466-IAH-MIA,06:00 AM,06:08 AM,09:20 AM,09:05 AM
aa,AA-1886-BOS-MIA,10:45 AM,10:55 AM,02:20 PM,01:40 PM
aa,AA-2957-DFW-CVG,07:55 AM,08:04 AM,11:05 AM,11:01 AM
aa,AA-1664-MIA-ATL,10:15 AM,10:18 AM,12:10 PM,11:56 AM
aa,AA-3979-CVG-ORD,07:30 AM,08:04 AM,08:00 AM,08:06 AM
aa,AA-1279-DFW-PHX,01:00 PM,02:04 PM,02:35 PM,03:30 PM
aa,AA-616-DFW-DTW,09:05 AM,10:10 AM,12:35 PM,01:27 PM
aa,AA-4344-ORD-DTW,11:45 AM,12:13 PM,02:00 PM,02:10 PM
aa,AA-2525-DFW-MIA,07:25 AM,07:39 AM,11:10 AM,11:06 AM
aa,AA-404-MIA-MCO,06:45 AM,06:57 AM,07:45 AM,07:40 AM
aa,AA-271-MIA-LAX,11:35 AM,11:52 AM,02:25 PM,02:27 PM
aa,AA-2050-ORD-MIA,10:40 AM,11:05 AM,02:45 PM,02:46 PM
aa,AA-4330-CVG-ORD,03:35 PM,03:36 PM,04:00 PM,03:33 PM
aa,AA-1434-DFW-MCO,07:15 AM,07:21 AM,10:35 AM,10:36 AM
aa,AA-4307-ORD-DTW,06:45 PM,06:55 PM,09:10 PM,08:53 PM
aa,AA-3-JFK-LAX,12:00 PM,12:11 PM,03:15 PM,03:16 PM
aa,AA-3842-MSP-ORD,06:00 AM,06:56 AM,07:30 AM,07:51 AM
aa,AA-643-MIA-ORD,07:10 AM,07:30 AM,09:35 AM,09:31 AM
aa,AA-1007-MIA-PHX,04:55 PM,05:08 PM,08:05 PM,07:55 PM
aa,AA-1221-MCO-ORD,08:00 PM,08:23 PM,09:45 PM,09:53 PM
aa,AA-400-DFW-JFK,10:40 AM,11:01 AM,02:59 PM,03:04 PM
aa,AA-4198-ORD-CLE,10:40 AM,10:54 AM,12:55 PM,12:50 PM
aa,AA-1522-SFO-ORD,11:55 PM,,12/02/2011 5:50 AM,
aa,AA-3823-LAX-DEN,09:00 PM,,12/02/2011 12:15 AM,
aa,AA-2312-DFW-DTW,08:25 PM,,11:50 PM,
