Attribute,Index,Dirty Value,Cleaned Value,Clean Value
journal_title,24,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,Journal of clinical oncology : official journa lof the American Society of Clinical Oncology,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
journal_title,106,Psycho-oncology,Psycho-oncoolgy,Psycho-oncology
journal_title,149,Gut,ut,Gut
journal_title,178,Obesity (Silver Spring Md.),Obesity (Silver Sdpring Md.),Obesity (Silver Spring Md.)
journal_title,205,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association,Nephrology dialysis transplantation : offcial publication of the European Dialysis and Transplant Association - European Renal Association,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
journal_title,372,Annals of internal medicine,nnals of internal medicine,Annals of internal medicine
journal_title,747,Ann Rheum Dis,Ann RheumD is,Ann Rheum Dis
journal_issn,205,1460-2385,14t60-2385,1460-2385
journal_issn,296,1423-0380,142-0380,1423-0380
journal_issn,575,1423-0380,142-0380,1423-0380
journal_issn,741,Apr-74,74-Apr,Apr-74
journal_issn,747,Mar-67,67-Mar,67-May
journal_issn,849,Mar-67,67-Mar,67-May
