Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: article_title, MSE: nan, Jaccard: 0.01588877855014892
Attribute: article_language, MSE: nan, Jaccard: 0.0
Attribute: journal_title, MSE: nan, Jaccard: 0.008333333333333304
Attribute: journal_abbreviation, MSE: nan, Jaccard: 0.0
Attribute: journal_issn, MSE: nan, Jaccard: 0.037756202804746564
Attribute: article_jvolumn, MSE: nan, Jaccard: 0.0018037518037518074
Attribute: article_jissue, MSE: nan, Jaccard: 0.0020457683136008153
Attribute: article_jcreated_at, MSE: nan, Jaccard: 0.0
Attribute: article_pagination, MSE: nan, Jaccard: 0.033333333333333326
Attribute: author_list, MSE: nan, Jaccard: 0.08384458077709611
Weighted Hybrid Distance: 0.007625239538167118
