Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.011533185041504579
Attribute: areacode, MSE: nan, Jaccard: 0.0
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.029077694878587357
Attribute: state, MSE: nan, Jaccard: 0.6945488001023068
Attribute: zip, MSE: nan, Jaccard: 0.0
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 0.0, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.5601954737565455
Attribute: marriedexemp, MSE: nan, Jaccard: 0.7057307166427326
Attribute: childexemp, MSE: nan, Jaccard: 0.5541598777521721
加权混合距离: 0.07985142963043278
