Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.9482957692683179
Attribute: areacode, MSE: nan, Jaccard: 0.0
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.08281577539746054
Attribute: state, MSE: nan, Jaccard: 0.4000870921432653
Attribute: zip, MSE: nan, Jaccard: 0.0
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 0.0, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.5269325539717734
Attribute: marriedexemp, MSE: nan, Jaccard: 0.37283649529986773
Attribute: childexemp, MSE: nan, Jaccard: 0.7793303138929666
加权混合距离: 0.09719681249917661
