tid,attribute,correct_val
0,index,1
0,src,aa
0,flight,AA-3859-IAH-ORD
0,sched_dep_time,07:10 AM
0,act_dep_time,07:16 AM
0,sched_arr_time,09:40 AM
0,act_arr_time,09:32 AM
1,index,2
1,src,aa
1,flight,AA-1733-ORD-PHX
1,sched_dep_time,07:45 PM
1,act_dep_time,07:58 PM
1,sched_arr_time,10:30 PM
1,act_arr_time,10:30 PM
2,index,3
2,src,aa
2,flight,AA-1640-MIA-MCO
2,sched_dep_time,06:30 PM
2,act_dep_time,06:30 PM
2,sched_arr_time,07:25 PM
2,act_arr_time,07:25 PM
3,index,4
3,src,aa
3,flight,AA-518-MIA-JFK
3,sched_dep_time,06:40 AM
3,act_dep_time,06:54 AM
3,sched_arr_time,09:25 AM
3,act_arr_time,09:28 AM
4,index,5
4,src,aa
4,flight,AA-3756-ORD-SLC
4,sched_dep_time,12:15 PM
4,act_dep_time,12:41 PM
4,sched_arr_time,02:45 PM
4,act_arr_time,02:50 PM
5,index,6
5,src,aa
5,flight,AA-204-LAX-MCO
5,sched_dep_time,11:25 PM
5,act_dep_time,11:25 PM
5,sched_arr_time,06:55 AM
5,act_arr_time,06:55 AM
6,index,7
6,src,aa
6,flight,AA-3468-CVG-MIA
6,sched_dep_time,07:00 AM
6,act_dep_time,07:25 AM
6,sched_arr_time,09:55 AM
6,act_arr_time,09:45 AM
7,index,8
7,src,aa
7,flight,AA-484-DFW-MIA
7,sched_dep_time,04:15 PM
7,act_dep_time,04:29 PM
7,sched_arr_time,07:55 PM
7,act_arr_time,07:39 PM
8,index,9
8,src,aa
8,flight,AA-446-DFW-PHL
8,sched_dep_time,11:50 AM
8,act_dep_time,12:12 PM
8,sched_arr_time,03:50 PM
8,act_arr_time,04:09 PM
9,index,10
9,src,aa
9,flight,AA-466-IAH-MIA
9,sched_dep_time,06:00 AM
9,act_dep_time,06:08 AM
9,sched_arr_time,09:20 AM
9,act_arr_time,09:05 AM
10,index,11
10,src,aa
10,flight,AA-1886-BOS-MIA
10,sched_dep_time,10:45 AM
10,act_dep_time,10:55 AM
10,sched_arr_time,02:20 PM
10,act_arr_time,01:40 PM
11,index,12
11,src,aa
11,flight,AA-2957-DFW-CVG
11,sched_dep_time,07:55 AM
11,act_dep_time,08:04 AM
11,sched_arr_time,11:05 AM
11,act_arr_time,11:01 AM
12,index,13
12,src,aa
12,flight,AA-1664-MIA-ATL
12,sched_dep_time,10:15 AM
12,act_dep_time,10:18 AM
