Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.9454933876259107
Attribute: areacode, MSE: nan, Jaccard: 0.0
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.14479350418382264
Attribute: state, MSE: nan, Jaccard: 0.8646842119967989
Attribute: zip, MSE: nan, Jaccard: 0.0
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 1.4988357199199224e-32, Jaccard: 0.1649484536082474
Attribute: singleexemp, MSE: nan, Jaccard: 0.7792542261963235
Attribute: marriedexemp, MSE: nan, Jaccard: 0.811694374452822
Attribute: childexemp, MSE: nan, Jaccard: 0.8032204569047527
加权混合距离: 0.14106526921777118
