Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.04766247274908575
Attribute: brewery_name, MSE: nan, Jaccard: 0.016532619584684327
Attribute: beer_name, MSE: nan, Jaccard: 0.0017346053772766545
Attribute: style, MSE: nan, Jaccard: 0.0
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: 0.0, Jaccard: 0.0
Attribute: ibu, MSE: 0.0, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.00680051813471505
Attribute: state, MSE: nan, Jaccard: 0.12758672242809277
加权混合距离: 0.010015846913692728
