Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.9363683040112555
Attribute: areacode, MSE: nan, Jaccard: 0.09209713043056567
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.03851074998106818
Attribute: state, MSE: nan, Jaccard: 0.8187665460202933
Attribute: zip, MSE: nan, Jaccard: 0.0
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: nan, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.9977410433424114
Attribute: marriedexemp, MSE: nan, Jaccard: 0.9941065017949741
Attribute: childexemp, MSE: nan, Jaccard: 0.9622294117647059
º”»®ªÏ∫œæ‡¿Î: 0.1512443652295398
