index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436,pub beer,american pale lager,12.0 oz,0.05,40.0,408,10 barrel brewing company,bend,or
2,2265,devil's cup,american pale ale (apa),12.0 oz.,0.066,60.0,177,18th street brewery,gary,in
3,2264,rise of the phoenix,american ipa,12.0 ounce,0.071,60.0,177,18th street brewery,gary,in
4,2263,sinister,american double / imperial ipa,12.0 oz,0.09%,60.0,177,18th street brewery,gary,in
5,2262,sex and candy,american ipa,12.0 oz.,0.075,60.0,177,18th street brewery,gary,in
6,2261,black exodus,oatmeal stout,12.0 oz,0.077,60.0,177,18th street brewery,gary,in
7,2260,lake street express,american pale ale (apa),12.0 oz.,0.05%,60.0,177,18th street brewery,gary,in
8,2259,foreman,american porter,12.0 ounce,0.065,60.0,177,18th street brewery,gary,in
9,2258,jade,american pale ale (apa),12.0 oz.,0.055,60.0,177,18th street brewery,gary,in
10,2131,cone crusher,american double / imperial ipa,12.0 ounce,0.086,60.0,177,18th street brewery,gary,in
11,2099,sophomoric saison,saison / farmhouse ale,12.0 oz.,0.072,60.0,177,18th street brewery,gary,in
12,2098,regional ring of fire,saison / farmhouse ale,12.0 oz.,0.073,60.0,177,18th street brewery,gary,in
13,2097,garce selé,saison / farmhouse ale,12.0 oz.,0.07%,60.0,177,18th street brewery,gary,in
14,1980,troll destroyer,belgian ipa,12.0 oz.,0.085,60.0,177,18th street brewery,gary,in
15,1979,bitter bitch,american pale ale (apa),12.0 ounce,0.06%,60.0,177,18th street brewery,gary,in
16,2318,ginja ninja,cider,12.0 ounce,0.06,_nan_,154,2 towns ciderhouse,corvallis,or
17,2170,cherried away,cider,12.0 oz.,0.06,_nan_,154,2 towns ciderhouse,corvallis,or
18,2169,rhubarbarian,cider,12.0 oz. alumi-tek,0.06,_nan_,154,2 towns ciderhouse,corvallis,or
19,1502,brightcider,cider,12.0 ounce,0.06,_nan_,154,2 towns ciderhouse,corvallis,or
20,1593,he said baltic-style porter,baltic porter,12.0 oz.,0.082,17.0,368,21st amendment brewery,san francisco,ca
21,1592,he said belgian-style tripel,tripel,12.0 oz.,0.082,17.0,368,21st amendment brewery,san francisco ca,ca
22,1036,lower de boom,american barleywine,8.4 ounce,0.099,92.0,368,21st amendment brewery,san francisco,ca
23,1024,fireside chat,winter warmer,12.0 oz.,0.079,45.0,368,21st amendment brewery,san francisco,ca
24,976,marooned on hog island,american stout,12.0 oz.,0.079,17.0,368,21st amendment brewery,san francisco,ca
25,876,bitter american,american pale ale (apa),12.0 oz,0.044,42.0,368,21st amendment brewery,san francisco,ca
26,802,hell or high watermelon wheat (2009),fruit / vegetable beer,12.0 ounce,0.049,17.0,368,21st amendment brewery,san francisco,ca
27,801,hell or high watermelon wheat (2009),fruit / vegetable beer,12.0 oz.,0.05%,17.0,368,21st amendment brewery,san francisco,ca
28,800,21st amendment watermelon wheat beer (2006),fruit / vegetable beer,12.0 oz.,0.049,17.0,368,21st amendment brewery,san francisco,ca
29,799,21st amendment ipa (2006),american ipa,12.0 oz.,0.07,70.0,368,21st amendment brewery,san francisco,ca
30,797,brew free! or die ipa (2008),american ipa,12.0 oz.,0.07%,70.0,368,21st amendment brewery,san francisco,ca
